# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
柚子蜜	you zi mi	13
柠檬乳酪饼	ning meng ru lao bing	4
柠檬夹心蛋糕	ning meng jia xin dan gao	5
柠檬小蛋糕	ning meng xiao dan gao	4
柠檬沙冰	ning meng sha bing	1
柠檬油	ning meng you	6
柠檬糖	ning meng tang	4
柠檬薏米水	ning meng yi mi shui	3
柠檬蛋糕	ning meng dan gao	7
柠檬起司蛋糕	ning meng qi si dan gao	5
柠檬酸一钠	ning meng suan yi na	5
柠檬酸亚锡二钠	ning meng suan ya xi er na	5
柠檬酸钙	ning meng suan gai	16
柠檬酸钠	ning meng suan na	4
柠檬酸钾	ning meng suan jia	2
柠檬酸铁	ning meng suan tie	11
柠檬酸铁铵	ning meng suan tie an	9
柠檬鸡	ning meng ji	1
柠檬黄	ning meng huang	31
柠檬黄铝色淀	ning meng huang lv se dian	3
柠汁炸软鸡	ning zhi zha ruan ji	4
柯尔克孜族烤全羊	ke er ke zi zu kao quan yang	3
柳城云片糕	liu cheng yun pian gao	3
柳州酸	liu zhou suan	5
柳林芝麻饼	liu lin zhi ma bing	5
柳泉居	liu quan ju	4
柴把鱼	chai ba yu	6
柴沟堡熏肉	chai gou bu xun rou	8
柿叶茶	shi ye cha	2
柿子包	shi zi bao	6
柿子糊塌	shi zi hu ta	1
柿霜软糖	shi shuang ruan tang	5
柿面糊塌	shi mian hu ta	7
栀子蓝	zhi zi lan	2
栀子黄	zhi zi huang	9
树叶饼	shu ye bing	1
树根蛋糕	shu gen dan gao	1
树花炖土鸡	shu hua dun tu ji	6
栗子淮山煲鸡脚	li zi huai shan bao ji jiao	3
栗子炒子鸡	li zi chao zi ji	5
栗子焖羊肉	li zi men yang rou	3
栗子球	li zi qiu	9
栗子白菜	li zi bai cai	6
栗子粥	li zi zhou	1
栗子糕	li zi gao	8
栗子肉	li zi rou	10
栗子莲子猪腰汤	li zi lian zi zhu yao tang	3
栗子蛋糕	li zi dan gao	29
栗子鸡	li zi ji	9
栗子黄焖鸡	li zi huang men ji	6
栗羊羹	li yang geng	7
株洲什锦菜	zhu zhou shi jin cai	5
核桃仁	he tao ren	11
核桃仁粥	he tao ren zhou	7
核桃冻	he tao dong	6
核桃奶	he tao nai	4
核桃松糕	he tao song gao	5
核桃粘	he tao zhan	7
核桃糕	he tao gao	2
核桃红米饭	he tao hong mi fan	5
核桃葡萄干面包	he tao pu tao gan mian bao	3
核桃酥	he tao su	26
核桃酪	he tao lao	2
核桃香脆	he tao xiang cui	3
核桃鸡汤	he tao ji tang	3
根面角	gen mian jiao	3
格仔饼	ge zi bing	1
格林斯通	ge lin si tong	7
格瓦斯饮料	ge wa si yin liao	5
桂发祥	gui fa xiang	11
桂发祥麻花	gui fa xiang ma hua	1
桂圆羊肉煲	gui yuan yang rou bao	4
桂平西山茶	gui ping xi shan cha	8
桂林松糕	gui lin song gao	5
桂林田螺	gui lin tian luo	1
桂林粽子	gui lin zong zi	3
桂林酥糖	gui lin su tang	6
桂花元宵	gui hua yuan xiao	1
桂花大头菜	gui hua da tou cai	4
桂花干贝	gui hua gan bei	7
桂花栗子羹	gui hua li zi geng	7
桂花栗子酥	gui hua li zi su	3
桂花栗饼	gui hua li bing	4
桂花核桃冻	gui hua he tao dong	5
桂花楂糕	gui hua zha gao	4
桂花橄榄	gui hua gan lan	3
桂花浸膏	gui hua jin gao	7
桂花炒米糕	gui hua chao mi gao	3
桂花甜酒酿	gui hua tian jiu niang	2
桂花白糖甜菜条	gui hua bai tang tian cai tiao	2
桂花白糖饼	gui hua bai tang bing	3
桂花稠酒	gui hua chou jiu	7
桂花糖大栗	gui hua tang da li	5
桂花糖年糕	gui hua tang nian gao	2
桂花糖粥	gui hua tang zhou	1
桂花糖芋艿	gui hua tang yu nai	5
桂花糖藕	gui hua tang ou	13
桂花糯米藕	gui hua nuo mi ou	7
桂花红烧肉	gui hua hong shao rou	1
桂花翅子	gui hua chi zi	7
桂花肉	gui hua rou	7
桂花茶饼	gui hua cha bing	6
桂花莲藕	gui hua lian ou	3
桂花赤豆汤	gui hua chi dou tang	1
桂花辣酱芥	gui hua la jiang jie	3
桂花酒酿元宵	gui hua jiu niang yuan xiao	6
桂花酥糖	gui hua su tang	1
桂花酱鸡	gui hua jiang ji	3
桂花香糕	gui hua xiang gao	5
桂花鱼条	gui hua yu tiao	6
桂花鲜栗羹	gui hua xian li geng	6
桂醛	gui quan	10
桂鱼排骨	gui yu pai gu	2
桃仁山鸡丁	tao ren shan ji ding	4
桃仁饮	tao ren yin	2
桃仁鸡丁	tao ren ji ding	5
桃仁鸭方	tao ren ya fang	4
桃子色拉	tao zi se la	2
桃杞鸡卷	tao qi ji juan	3
桃片糕	tao pian gao	2
桃盐桃片	tao yan tao pian	2
桃粿	tao guo	8
桃花米线	tao hua mi xian	2
桃花面	tao hua mian	9
桃醛	tao quan	4
桉叶油	an ye you	1
桉叶糖	an ye tang	5
桉叶素	an ye su	7
桐叶粑粑	tong ye ba ba	6
桐庐白梨	tong lu bai li	3
桐蛋	tong dan	6
桑叶眉豆卷	sang ye mei dou juan	3
桑寄生茶	sang ji sheng cha	9
桑普莉	sang pu li	3
桑果雪芭	sang guo xue ba	6
桑椹红	sang shen hong	7
桑椹红枣汤	sang shen hong zao tang	3
桑芽茶	sang ya cha	5
桑葚粥	sang shen zhou	7
桔子柠檬布丁	ju zi ning meng bu ding	2
桔烧巴	ju shao ba	3
桔瓣鱼汆	ju ban yu cuan	2
桔红糕	ju hong gao	5
桔花晶	ju hua jing	2
桔阳	ju yang	6
桔饼	ju bing	1
桥头火锅店	qiao tou huo guo dian	5
桶子鸡	tong zi ji	10
梁平甜茶	liang ping tian cha	5
梁渡银针	liang du yin zhen	6
梁英记裹蒸粽	liang ying ji guo zheng zong	4
梅兰锡咖啡	mei lan xi ka fei	3
梅子排骨	mei zi pai gu	6
梅子肉	mei zi rou	6
梅干月饼	mei gan yue bing	5
梅干菜烧肉	mei gan cai shao rou	8
梅竹山石	mei zhu shan shi	3
梅花粥	mei hua zhou	8
梅花蛋糕	mei hua dan gao	1
梅花青豆糁	mei hua qing dou san	4
梅花香芋	mei hua xiang yu	4
梆梆肉	bang bang rou	2
梓潼片粉	zi tong pian fen	7
梓潼酥饼	zi tong su bing	1
梧州月饼	wu zhou yue bing	3
梧州蜜枣	wu zhou mi zao	6
梧州豆浆	wu zhou dou jiang	4
梨丸	li wan	7
梨子水	li zi shui	7
梨脯	li fu	3
梳乎厘	shu hu li	5
梳子百页	shu zi bai ye	6
棉城鲎	mian cheng hou	3
棉花糕	mian hua gao	7
棋子烧饼	qi zi shao bing	5
棒棒肉	bang bang rou	1
棒棒鸡	bang bang ji	1
棒棒鸡丝	bang bang ji si	6
棒槌果子	bang chui guo zi	7
棒骨土豆地饵汤	bang gu tu dou di er tang	2
棕榈酸	zong lv suan	10
棠花吐蕊	tang hua tu rui	3
森参	sen shen	11
森林木盒	sen lin mu he	5
植物添银花	zhi wu tian yin hua	2
植物炭黑	zhi wu tan hei	5
植物饮料	zhi wu yin liao	10
植酸	zhi suan	5
植酸钠	zhi suan na	10
椒河鳗	jiao he man	4
椒油扁豆	jiao you bian dou	4
椒油茭白	jiao you jiao bai	3
椒油银耳	jiao you yin er	3
椒盐八宝鸡	jiao yan ba bao ji	4
椒盐排骨	jiao yan pai gu	4
椒盐桃片	jiao yan tao pian	7
椒盐海豹蛇	jiao yan hai bao she	4
椒盐粽子	jiao yan zong zi	6
椒盐肘子	jiao yan zhou zi	3
椒盐肚尖	jiao yan du jian	2
椒盐花卷	jiao yan hua juan	5
椒盐虾	jiao yan xia	9
椒盐虾仁	jiao yan xia ren	2
椒盐蹄膀	jiao yan ti pang	4
椒盐锅盔	jiao yan guo kui	3
椒盐锅魁	jiao yan guo kui	4
椒盐馓子	jiao yan san zi	6
椒盐麻饼	jiao yan ma bing	1
椒麻鸡	jiao ma ji	11
椒麻鸡片	jiao ma ji pian	6
椰奶布丁	ye nai bu ding	5
椰子糕	ye zi gao	16
椰子饼	ye zi bing	15
椰汁板兰糕	ye zhi ban lan gao	5
椰汁红豆糕	ye zhi hong dou gao	1
椰汁西米糕	ye zhi xi mi gao	1
椰蓉包	ye rong bao	6
椰蓉杏仁饼	ye rong xing ren bing	3
椰蓉面包	ye rong mian bao	6
椰蓉马卡隆	ye rong ma ka long	3
椰酱	ye jiang	2
椰香咖喱鸡	ye xiang ka li ji	3
椰香红豆糕	ye xiang hong dou gao	3
椰香面包	ye xiang mian bao	6
椿芽焖蛋	chun ya men dan	4
楚宝桂花赤豆汤	chu bao gui hua chi dou tang	2
楠溪麦饼	nan xi mai bing	4
榄仁猪油糕	lan ren zhu you gao	3
榆林豆腐	yu lin dou fu	7
榆次灌肠	yu ci guan chang	6
榆皮面饸咯	yu pi mian he ge	4
榕树茶	rong shu cha	4
榜舍龟	bang she gui	6
榨广椒	zha guang jiao	3
槐茂酱菜	huai mao jiang cai	2
槐豆胶	huai dou jiao	1
槟榔子	bing lang zi	7
槭风蛋糕	qi feng dan gao	4
槽子糕	cao zi gao	3
樊记肉加馍	fan ji rou jia mo	3
樊记腊汁肉	fan ji la zhi rou	2
樟茶鸡	zhang cha ji	4
樟茶鸭	zhang cha ya	4
樟茶鸭子	zhang cha ya zi	9
樱桃土豆	ying tao tu dou	2
樱桃巧克力蛋糕	ying tao qiao ke li dan gao	6
樱桃派	ying tao pai	4
樱桃羹	ying tao geng	6
樱桃肉	ying tao rou	31
樱桃蕃茄	ying tao fan qie	6
樱桃蜜饯	ying tao mi jian	5
樱桃酒咖啡	ying tao jiu ka fei	2
樽皇酒具	zun huang jiu ju	6
橄榄沙拉	gan lan sha la	4
橄榄炖鸡	gan lan dun ji	5
橘瓣鱼圆	ju ban yu yuan	5
橘红糕	ju hong gao	1
橘露汤圆	ju lu tang yuan	3
橙味蛋黄	cheng wei dan huang	2
橙糕	cheng gao	6
橙花排骨	cheng hua pai gu	2
橙酒汁	cheng jiu zhi	3
檀扇鸭掌	tan shan ya zhang	2
欢喜坨	huan xi tuo	3
欢心美	huan xin mei	3
欧利伐	ou li fa	3
欧培拉	ou pei la	3
欧式蛋糕	ou shi dan gao	9
欧式重乳酪蛋糕	ou shi zhong ru lao dan gao	2
欧查果	ou cha guo	4
欧蕾冰咖啡	ou lei bing ka fei	5
歙县豆腐脑髓	she xian dou fu nao sui	3
正宗涮羊肉	zheng zong shuan yang rou	3
正山小种红茶	zheng shan xiao zhong hong cha	3
正明斋糕点	zheng ming zhai gao dian	4
正阳楼	zheng yang lou	11
武功镇起花面	wu gong zhen qi hua mian	5
武城旋饼	wu cheng xuan bing	4
武夷山岩茶	wu yi shan yan cha	9
武平猪胆干	wu ping zhu dan gan	8
武汉热干面	wu han re gan mian	46
武汉猪肉干	wu han zhu rou gan	2
武穴酥糖	wu xue su tang	5
毋米粥	wu mi zhou	11
母子相会	mu zi xiang hui	10
比利时啤酒	bi li shi pi jiu	4
比利时巧克力	bi li shi qiao ke li	10
毕节汤圆	bi jie tang yuan	8
毛叔	mao shu	10
毛哥老鸭汤	mao ge lao ya tang	8
毛嘴卤鸡	mao zui lu ji	6
毛家红烧肉	mao jia hong shao rou	10
毛峰熏鲥鱼	mao feng xun shi yu	8
毛桃	mao tao	13
毛毛虫面包	mao mao chong mian bao	6
毛毛面	mao mao mian	2
毛氏红烧肉	mao shi hong shao rou	9
毛肚火锅	mao du huo guo	9
毛豆煎臭豆腐	mao dou jian chou dou fu	3
毛豆结	mao dou jie	3
毡酒	zhan jiu	2
毫吉阿	hao ji a	2
毫崩	hao beng	7
毫糯索	hao nuo suo	5
氏丸子	shi wan zi	3
气磺蛋	qi huang dan	3
氢化松香甘油酯	qing hua song xiang gan you zhi	3
氢氧化钙	qing yang hua gai	14
氧化铁红	yang hua tie hong	10
氧化铁黑	yang hua tie hei	8
氧化镁	yang hua mei	23
氨基乙酸	an ji yi suan	2
氯化胆碱	lv hua dan jian	11
氯化钙	lv hua gai	20
氯化钾	lv hua jia	28
氯化锰	lv hua meng	8
氯化镁	lv hua mei	21
氰钴胺素	qing gu an su	5
水产罐头	shui chan guan tou	9
水八块	shui ba kuai	1
水分保持剂	shui fen bao chi ji	9
水发海参	shui fa hai shen	12
水晶南瓜	shui jing nan gua	6
水晶团子	shui jing tuan zi	3
水晶扣肉	shui jing kou rou	4
水晶明虾球	shui jing ming xia qiu	3
水晶枇杷	shui jing pi pa	3
水晶梅花包	shui jing mei hua bao	4
水晶橘子	shui jing ju zi	4
水晶粉	shui jing fen	11
水晶翡翠饺	shui jing fei cui jiao	3
水晶肉	shui jing rou	2
水晶肘子	shui jing zhou zi	1
水晶肴肉	shui jing yao rou	6
水晶菊花酥	shui jing ju hua su	3
水晶虾饺	shui jing xia jiao	9
水晶蛋糕	shui jing dan gao	7
水晶蟹粉卷	shui jing xie fen juan	5
水晶蹄膀香肴肉	shui jing ti pang xiang yao rou	3
水晶软糖	shui jing ruan tang	7
水晶酥	shui jing su	7
水晶银菊糕	shui jing yin ju gao	5
水晶饼	shui jing bing	12
水杨酸甲酯	shui yang suan jia zhi	8
水果一品	shui guo yi pin	5
水果塔	shui guo ta	31
水果夹心蛋糕	shui guo jia xin dan gao	4
水果奶油蛋糕	shui guo nai you dan gao	1
水果派	shui guo pai	3
水果蛋糕	shui guo dan gao	33
水果鸡	shui guo ji	9
水桃酥	shui tao su	2
水泡饼干	shui pao bing gan	6
水泡鱼元	shui pao yu yuan	2
水浒肉	shui hu rou	4
水煎乳饼	shui jian ru bing	2
水煎包子	shui jian bao zi	8
水煎饼	shui jian bing	3
水煮凤片	shui zhu feng pian	2
水煮回头鱼	shui zhu hui tou yu	3
水煮田鸡	shui zhu tian ji	6
水煮白扎肉	shui zhu bai zha rou	3
水煮笋罐头	shui zhu sun guan tou	6
水煮羊肉	shui zhu yang rou	1
水煮蹄花	shui zhu ti hua	3
水煮鱼头	shui zhu yu tou	6
水煮鲢鱼	shui zhu lian yu	4
水煮鳝鱼	shui zhu shan yu	6
水瓜柳	shui gua liu	7
水盆大肉	shui pen da rou	2
水盆羊肉	shui pen yang rou	31
水管面	shui guan mian	6
水糍粑	shui ci ba	7
水芝士	shui zhi shi	2
水豆鼓	shui dou gu	6
水饺元	shui jiao yuan	2
水饺子	shui jiao zi	8
水饺豆沙煎饼	shui jiao dou sha jian bing	3
永和园	yong he yuan	9
永安笋干	yong an sun gan	5
永定菜干	yong ding cai gan	8
永州炒血鸭	yong zhou chao xue ya	2
永胜油茶	yong sheng you cha	7
氽三样儿	tun san yang er	5
氽丸子	tun wan zi	8
氽大甲	tun da jia	5
氽毛豆	tun mao dou	4
氽灌肠	tun guan chang	5
氽肥肠儿	tun fei chang er	4
氽节子	tun jie zi	4
氽银耳鸭舌	tun yin er ya she	3
氽鲤鱼	tun li yu	4
汀州伊面	ting zhou yi mian	2
汁鲫鱼	zhi ji yu	1
汇泉	hui quan	47
汇泉饭店	hui quan fan dian	7
汉中梆梆面	han zhong bang bang mian	5
汉中米皮	han zhong mi pi	1
汉中米面皮	han zhong mi mian pi	7
汉斯干啤	han si gan pi	8
汉水银梭	han shui yin suo	7
汉生胶	han sheng jiao	6
汝城板鸭	ru cheng ban ya	5
江北熊鸭子	jiang bei xiong ya zi	5
江华毛尖	jiang hua mao jian	6
江南丸	jiang nan wan	3
江口豆腐干	jiang kou dou fu gan	4
江山绿牡丹茶	jiang shan lv mu dan cha	6
江毛水饺	jiang mao shui jiao	6
江津米花糖	jiang jin mi hua tang	8
江米条	jiang mi tiao	11
江米枣	jiang mi zao	5
江米酿鸭子	jiang mi niang ya zi	7
江苏菜	jiang su cai	2
池塘莲花	chi tang lian hua	1
汤丸王	tang wan wang	1
汤元	tang yuan	17
汤冷面	tang leng mian	2
汤团缸鸭狗	tang tuan gang ya gou	2
汤圆锅子	tang yuan guo zi	5
汤岗子矿泉水	tang gang zi kuang quan shui	4
汤爆双脆	tang bao shuang cui	8
汤类	tang lei	14
汤羊	tang yang	10
汪集鸡汤	wang ji ji tang	7
汽水肉	qi shui rou	2
汽锅鸡	qi guo ji	1
汾宁白糖棉花糕	fen ning bai tang mian hua gao	4
汾酒牛肉	fen jiu niu rou	6
沃凯诺	wo kai nuo	8
沅陵酥糖	yuan ling su tang	2
沐丹阳	mu dan yang	6
沔城莲藕	mian cheng lian ou	5
沔阳三蒸	mian yang san zheng	2
沙勿来	sha wu lai	2
沙县豆腐丸	sha xian dou fu wan	3
沙县馄饨	sha xian hun tun	1
沙参心肺汤	sha shen xin fei tang	3
沙参玉竹老鸭汤	sha shen yu zhu lao ya tang	5
沙司牛尾	sha si niu wei	3
沙嗲羊肉串	sha dia yang rou chuan	2
沙市甜独蒜头	sha shi tian du suan tou	4
沙式饼干	sha shi bing gan	5
沙律海鲜卷	sha lv hai xian juan	5
沙拉海鲜卷	sha la hai xian juan	2
沙拉船	sha la chuan	4
沙拉蛋	sha la dan	5
沙朗牛排	sha lang niu pai	2
沙棘汁	sha ji zhi	22
沙棘黄	sha ji huang	9
沙河粉	sha he fen	2
沙河蛋糕	sha he dan gao	4
沙湖盐蛋	sha hu yan dan	7
沙湾大盘鸡	sha wan da pan ji	6
沙湾姜撞奶	sha wan jiang zhuang nai	7
沙湾白饼	sha wan bai bing	5
沙溪凉茶	sha xi liang cha	1
沙田柚	sha tian you	15
沙窝椒汁大鱼头	sha wo jiao zhi da yu tou	2
沙米粉	sha mi fen	1
沙维康	sha wei kang	3
沙翁	sha weng	6
沙舟踏翠	sha zhou ta cui	5
沙茶烤肉串	sha cha kao rou chuan	6
沙茶牛肉	sha cha niu rou	3
沙茶粿	sha cha guo	1
沙蒿胶	sha hao jiao	4
沙锅散丹	sha guo san dan	3
沙锅鱼头豆腐	sha guo yu tou dou fu	5
沙黄蛋角酥	sha huang dan jiao su	4
沛公狗肉	pei gong gou rou	7
沛县狗肉	pei xian gou rou	8
沟帮子熏鸡	gou bang zi xun ji	2
没食子酸丙酯	mei shi zi suan bing zhi	1
沧州冬菜	cang zhou dong cai	8
沧浪亭	cang lang ting	19
沩山毛尖	wei shan mao jian	8
沫若香茗	mo ruo xiang ming	4
河内圆茶	he nei yuan cha	2
河南卤面	he nan lu mian	4
河岔口咸鸭蛋	he cha kou xian ya dan	2
河州大饼	he zhou da bing	5
河曲红果	he qu hong guo	3
河曲酸粥	he qu suan zhou	4
河水豆花	he shui dou hua	7
沸腾可乐	fei teng ke le	9
沸腾鱼	fei teng yu	34
油卵	you luan	8
油塔子	you ta zi	2
油墩子	you dun zi	16
油攒大虾	you cuan da xia	5
油旋	you xuan	11
油旋子锅魁	you xuan zi guo kui	4
油条烩鳝鱼	you tiao hui shan yu	4
油梨	you li	2
油氽馒头	you tun man tou	7
油汆排骨年糕	you cuan pai gu nian gao	3
油泡鱼青丸	you pao yu qing wan	4
油泼肉	you po rou	6
油泼青鱼	you po qing yu	4
油浸腌肉	you jin yan rou	4
油浸鲳鱼	you jin chang yu	3
油浸鸡	you jin ji	5
油淋笋鸡	you lin sun ji	2
油淋鸡	you lin ji	8
油淋鸽子	you lin ge zi	3
油炒粉	you chao fen	7
油炸卤制花干	you zha lu zhi hua gan	3
油炸果	you zha guo	1
油炸果子	you zha guo zi	8
油炸洋芋	you zha yang yu	2
油炸牛皮	you zha niu pi	7
油炸糖糕	you zha tang gao	6
油炸肺	you zha fei	5
油炸臭干	you zha chou gan	8
油炸臭豆腐	you zha chou dou fu	4
油炸臭豆腐干	you zha chou dou fu gan	7
油炸蜂蛹	you zha feng yong	6
油炸螺丝糕	you zha luo si gao	6
油炸青苔	you zha qing tai	8
油炸馄饨	you zha hun tun	1
油炸鬼	you zha gui	16
油炸麻圆	you zha ma yuan	4
油焖春笋	you men chun sun	5
油焖白菜	you men bai cai	6
油焖竹笋	you men zhu sun	4
油焖草菇	you men cao gu	4
油焖虾	you men xia	7
油焖鲜蘑	you men xian mo	4
油煎南瓜饼	you jian nan gua bing	2
油煎毛豆腐	you jian mao dou fu	7
油煎馄饨	you jian hun tun	5
油煎鸡蛋蘸蜂蜜	you jian ji dan zhan feng mi	4
油燃面	you ran mian	2
油爆双脆	you bao shuang cui	1
油爆肚尖	you bao du jian	4
油爆虾	you bao xia	28
油爆鱼芹	you bao yu qin	2
油爆鱿鱼卷	you bao you yu juan	3
油爆鲜贝	you bao xian bei	5
油爆鸭舌	you bao ya she	2
油甘子	you gan zi	6
油糊角	you hu jiao	4
油糕	you gao	19
油脂肠	you zhi chang	4
油脆	you cui	1
油茶炒面	you cha chao mian	4
油葱果	you cong guo	7
油葵	you kui	12
油豆泡	you dou pao	5
油豆腐干	you dou fu gan	7
油豆腐线粉汤	you dou fu xian fen tang	7
油豆腐镶肉	you dou fu xiang rou	4
油酥小水果	you su xiao shui guo	3
油酥火焙鱼	you su huo bei yu	2
油酥米花糖	you su mi hua tang	7
油酥蛋卷	you su dan juan	2
油酥饼	you su bing	10
油酸	you suan	42
油醋汁	you cu zhi	41
油醪糟	you lao zao	7
油锄片	you chu pian	7
油锅盔	you guo kui	6
油闷春笋	you men chun sun	5
油面	you mian	21
油面筋	you mian jin	40
油馍	you mo	21
油馍馍	you mo mo	7
油馓子	you san zi	9
油鸡棕	you ji zong	6
油鸡纵	you ji zong	7
治德号	zhi de hao	7
沾化冬枣	zhan hua dong zao	8
泉水土鸡	quan shui tu ji	4
泉水鸡	quan shui ji	1
法国红磨坊	fa guo hong mo fang	9
法式乳酪蛋糕	fa shi ru lao dan gao	2
法式桃子布丁	fa shi tao zi bu ding	3
法式烩鱼汤	fa shi hui yu tang	2
法式牛油炸鱼	fa shi niu you zha yu	2
法式红酒焗蜗牛	fa shi hong jiu ju wo niu	1
法式芝香烤翅	fa shi zhi xiang kao chi	3
法餐	fa can	37
法香	fa xiang	12
泡儿油糕	pao er you gao	6
泡凤爪	pao feng zhua	7
泡椒乳鸽	pao jiao ru ge	3
泡椒响螺片	pao jiao xiang luo pian	2
泡椒墨鱼仔	pao jiao mo yu zai	9
泡椒河鳗	pao jiao he man	4
泡椒牛肉	pao jiao niu rou	15
泡椒牛蛙	pao jiao niu wa	11
泡椒猪肝	pao jiao zhu gan	1
泡椒田鸡	pao jiao tian ji	21
泡椒肥肠	pao jiao fei chang	5
泡椒蒸水鱼	pao jiao zheng shui yu	2
泡椒鸡片	pao jiao ji pian	3
泡椒黄辣丁	pao jiao huang la ding	4
泡油糕	pao you gao	2
泡泡油糕	pao pao you gao	1
泡绿菜花	pao lv cai hua	3
泡莱鲫鱼	pao lai ji yu	2
泡菜炒肉末	pao cai chao rou mo	3
泡菜牛肚丝	pao cai niu du si	7
泡菜肉末	pao cai rou mo	3
泡菜鱼	pao cai yu	7
泡菜鹅肠	pao cai e chang	3
波丝油糕	bo si you gao	3
波士顿派	bo shi dun pai	7
波波糖	bo bo tang	1
泥钉冻	ni ding dong	5
泥风鸡	ni feng ji	4
泥鳅煮酸菜	ni qiu zhu suan cai	5
泥鳅钻豆腐	ni qiu zuan dou fu	9
泮塘马蹄糕	pan tang ma ti gao	7
泮溪	pan xi	2
泮溪酒家	pan xi jiu jia	4
泰和乌鸡	tai he wu ji	10
泰国炸鱼	tai guo zha yu	3
泰安三美豆腐	tai an san mei dou fu	4
泰安煎饼	tai an jian bing	7
泰山三美	tai shan san mei	10
泰山女儿茶	tai shan nv er cha	1
泰山豆腐面	tai shan dou fu mian	4
泰山赤鳞鱼	tai shan chi lin yu	8
泰州干丝	tai zhou gan si	4
泰式凉拌海鲜	tai shi liang ban hai xian	4
泰式凉拌花枝	tai shi liang ban hua zhi	2
泰式千层糕	tai shi qian ceng gao	3
泰式咖哩螃蟹	tai shi ka li pang xie	5
泰式咖哩鸡	tai shi ka li ji	4
泰式榴莲酥	tai shi liu lian su	4
泰式酸辣凤爪	tai shi suan la feng zhua	5
泰式酸辣虾汤	tai shi suan la xia tang	4
泰式青木瓜沙拉	tai shi qing mu gua sha la	4
泰德马帝	tai de ma di	5
泰舒茶	tai shu cha	6
泸州鱼头火锅	lu zhou yu tou huo guo	3
泽合	ze he	2
洋县枣糕馍	yang xian zao gao mo	4
洋县猪白血	yang xian zhu bai xue	2
洋县黑米	yang xian hei mi	7
洋参雪耳炖燕窝	yang shen xue er dun yan wo	3
洋姑娘	yang gu niang	2
洋河敦煌	yang he dun huang	5
洋烧排骨	yang shao pai gu	3
洋芋檫檫	yang yu cha cha	4
洋芋粑粑	yang yu ba ba	19
洋芋饼	yang yu bing	3
洋茉莉醛	yang mo li quan	1
洋葱汤	yang cong tang	6
洋葱炒蛋	yang cong chao dan	9
洋葱炒鳝糊	yang cong chao shan hu	3
洋葱酱	yang cong jiang	1
洋钱饼	yang qian bing	5
洗沙白酥	xi sha bai su	6
洛神花茶	luo shen hua cha	10
洛阳水席	luo yang shui xi	1
洞子口张凉粉	dong zi kou zhang liang fen	5
洞庭水岸	dong ting shui an	4
洞庭碧螺春	dong ting bi luo chun	2
洞庭金龟	dong ting jin gui	7
洞顶乌龙	dong ding wu long	8
津兆尹	jin zhao yin	6
津八件	jin ba jian	3
津威	jin wei	32
洪字鸡丝黄瓜	hong zi ji si huang gua	4
洪山桥光饼	hong shan qiao guang bing	4
洪江鸭	hong jiang ya	6
洪洞醪糟	hong dong lao zao	4
洪都鸡	hong du ji	5
洱海弓鱼	er hai gong yu	5
洱海海菜	er hai hai cai	4
活性钙	huo xing gai	12
活血药酒	huo xue yao jiu	3
活钻鲤鱼	huo zuan li yu	5
流蜞蛋	liu qi dan	5
浆水	jiang shui	18
