# 青简领域词库：诗词名句，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
不待致书求	bu dai zhi shu qiu	2
不得中行而与之	bu de zhong xing er yu zhi	4
不得中顾私	bu de zhong gu si	3
不得其职则去	bu de qi zhi ze qu	2
不得其言则去	bu de qi yan ze qu	3
不得其门而入	bu de qi men er ru	15
不得到辽西	bu de dao liao xi	3
不得已而用之	bu de yi er yong zhi	1
不得志独行其道	bu de zhi du xing qi dao	2
不得春风花不开	bu de chun feng hua bu kai	4
不得通其道	bu de tong qi dao	2
不得顾采薇	bu de gu cai wei	2
不必取长途	bu bi qu chang tu	3
不必若余之手录	bu bi ruo yu zhi shou lu	2
不忍为之下	bu ren wei zhi xia	3
不忍便永诀	bu ren bian yong jue	2
不忍见其死	bu ren jian qi si	4
不忍食其肉	bu ren shi qi rou	4
不忧社稷倾	bu you she ji qing	2
不念居安思危	bu nian ju an si wei	2
不念携手好	bu nian xie shou hao	2
不思得岸各休去	bu si de an ge xiu qu	2
不怨胜己者	bu yuan sheng ji zhe	3
不恨古人吾不见	bu hen gu ren wu bu jian	1
不恨此花飞尽	bu hen ci hua fei jin	1
不患人之不己知	bu huan ren zhi bu ji zhi	6
不患寡而患不均	bu huan gua er huan bu jun	5
不患莫己知	bu huan mo ji zhi	3
不患贫而患不安	bu huan pin er huan bu an	7
不悲口无食	bu bei kou wu shi	2
不悲身无衣	bu bei shen wu yi	2
不惜千金买宝刀	bu xi qian jin mai bao dao	3
不惜歌者苦	bu xi ge zhe ku	4
不惭世上英	bu can shi shang ying	1
不惯起来听	bu guan qi lai ting	2
不愁明月尽	bu chou ming yue jin	2
不愿论簪笏	bu yuan lun zan hu	3
不愿鞠躬车马前	bu yuan ju gong che ma qian	3
不成人之恶	bu cheng ren zhi e	5
不戒视成谓之暴	bu jie shi cheng wei zhi bao	2
不戚戚于贫贱	bu qi qi yu pin jian	2
不才明主弃	bu cai ming zhu qi	1
不把双眉斗画长	bu ba shuang mei dou hua chang	2
不抚壮而弃秽兮	bu fu zhuang er qi hui xi	1
不拘一格降人才	bu ju yi ge jiang ren cai	1
不拘一格降人材	bu ju yi ge jiang ren cai	4
不指南方不肯休	bu zhi nan fang bu ken xiu	3
不教而杀谓之虐	bu jiao er sha wei zhi nve	3
不教胡马度阴山	bu jiao hu ma du yin shan	5
不敢为天下先	bu gan wei tian xia xian	5
不敢低头看	bu gan di tou kan	2
不敢叹风尘	bu gan tan feng chen	3
不敢怀非誉巧拙	bu gan huai fei yu qiao zhuo	2
不敢恨长沙	bu gan hen chang sha	2
不敢攀贵德	bu gan pan gui de	2
不敢稍逾约	bu gan shao yu yue	3
不敢言而敢怒	bu gan yan er gan nu	3
不敢问来人	bu gan wen lai ren	3
不敬其君者也	bu jing qi jun zhe ye	2
不是一番寒彻骨	bu shi yi fan han che gu	1
不是人间偏我老	bu shi ren jian pian wo lao	2
不是人间富贵花	bu shi ren jian fu gui hua	2
不是爱风尘	bu shi ai feng chen	2
不是花中偏爱菊	bu shi hua zhong pian ai ju	1
不是闻思所及	bu shi wen si suo ji	2
不曾富贵不曾穷	bu ceng fu gui bu ceng qiong	2
不有博弈者乎	bu you bo yi zhe hu	1
不有雨兼风	bu you yu jian feng	2
不期精粗焉	bu qi jing cu yan	2
不期而会重欢宴	bu qi er hui chong huan yan	2
不欲与廉颇争列	bu yu yu lian po zheng lie	2
不求闻达于诸侯	bu qiu wen da yu zhu hou	2
不汲汲于富贵	bu ji ji yu fu gui	2
不洒离别间	bu sa li bie jian	3
不炼金丹不坐禅	bu lian jin dan bu zuo chan	3
不爱红装爱武装	bu ai hong zhuang ai wu zhuang	5
不独明朝为子推	bu du ming chao wei zi tui	2
不用清明兼上巳	bu yong qing ming jian shang si	3
不用诉离觞	bu yong su li shang	1
不用钻龟与祝蓍	bu yong zuan gui yu zhu shi	2
不畏浮云遮望眼	bu wei fu yun zhe wang yan	6
不眠忧战伐	bu mian you zhan fa	2
不知东方之既白	bu zhi dong fang zhi ji bai	2
不知为不知	bu zhi wei bu zhi	17
不知乘月几人归	bu zhi cheng yue ji ren gui	1
不知云与我俱东	bu zhi yun yu wo ju dong	2
不知云雨散	bu zhi yun yu san	2
不知今夕何夕	bu zhi jin xi he xi	3
不知今夕是何年	bu zhi jin xi shi he nian	4
不知何处吊湘君	bu zhi he chu diao xiang jun	4
不知何处是他乡	bu zhi he chu shi ta xiang	6
不知何处是西天	bu zhi he chu shi xi tian	2
不知何处葬	bu zhi he chu zang	2
不知何处醉	bu zhi he chu zui	2
不知何时已而不虚	bu zhi he shi yi er bu xu	2
不知何用归	bu zhi he yong gui	2
不知修何行	bu zhi xiu he xing	2
不知其不胜任也	bu zhi qi bu sheng ren ye	2
不知其人可乎	bu zhi qi ren ke hu	2
不知其几千里也	bu zhi qi ji qian li ye	8
不知其可也	bu zhi qi ke ye	2
不知其姓名	bu zhi qi xing ming	1
不知其梦也	bu zhi qi meng ye	2
不知口体之奉不若人也	bu zhi kou ti zhi feng bu ruo ren ye	2
不知周之梦为胡蝶与	bu zhi zhou zhi meng wei hu die yu	3
不知园里树	bu zhi yuan li shu	3
不知地之厚也	bu zhi di zhi hou ye	5
不知墙外是谁家	bu zhi qiang wai shi shui jia	2
不知天上宫阙	bu zhi tian shang gong que	4
不知天之高也	bu zhi tian zhi gao ye	5
不知天地有清霜	bu zhi tian di you qing shuang	3
不知学问之大也	bu zhi xue wen zhi da ye	3
不知将军宽之至此也	bu zhi jiang jun kuan zhi zhi ci ye	2
不知心恨谁	bu zhi xin hen shui	3
不知忆我因何事	bu zhi yi wo yin he shi	2
不知明镜里	bu zhi ming jing li	3
不知江月待何人	bu zhi jiang yue dai he ren	3
不知秋思落谁家	bu zhi qiu si luo shui jia	6
不知细叶谁裁出	bu zhi xi ye shui cai chu	7
不知老之将至云尔	bu zhi lao zhi jiang zhi yun er	3
不知老将至	bu zhi lao jiang zhi	3
不知肉食者	bu zhi rou shi zhe	2
不知腐鼠成滋味	bu zhi fu shu cheng zi wei	3
不知转入此中来	bu zhi zhuan ru ci zhong lai	3
不知阴阳炭	bu zhi yin yang tan	2
不知香积寺	bu zhi xiang ji si	3
不知龙神享几多	bu zhi long shen xiang ji duo	2
不破楼兰终不还	bu po lou lan zhong bu huan	2
不离一室中	bu li yi shi zhong	2
不离墙下至行时	bu li qiang xia zhi xing shi	2
不管清寒与攀摘	bu guan qing han yu pan zhai	2
不管风吹浪打	bu guan feng chui lang da	7
不罚而民畏	bu fa er min wei	2
不耕自有余	bu geng zi you yu	2
不耘苗者也	bu yun miao zhe ye	3
不肯过江东	bu ken guo jiang dong	1
不能五十里	bu neng wu shi li	2
不能以礼让为国	bu neng yi li rang wei guo	2
不能发声哭	bu neng fa sheng ku	2
不能听终泪如雨	bu neng ting zhong lei ru yu	2
不能喻之于怀	bu neng yu zhi yu huai	2
不能忘情吟	bu neng wang qing yin	2
不能成一事	bu neng cheng yi shi	2
不能成方圆	bu neng cheng fang yuan	8
不能止遏意无他	bu neng zhi e yi wu ta	3
不能正五音	bu neng zheng wu yin	3
不能正其身	bu neng zheng qi shen	5
不能竟书而欲搁笔	bu neng jing shu er yu ge bi	4
不脱蓑衣卧月明	bu tuo suo yi wo yue ming	2
不自得而得彼者	bu zi de er de bi zhe	2
不若桂与兰	bu ruo gui yu lan	2
不若相忘于江湖	bu ruo xiang wang yu jiang hu	2
不蕲畜乎樊中	bu qi xu hu fan zhong	2
不薄今人爱古人	bu bo jin ren ai gu ren	2
不要人夸好颜色	bu yao ren kua hao yan se	4
不要人夸颜色好	bu yao ren kua yan se hao	5
不要这多雪	bu yao zhe duo xue	4
不见一人来	bu jian yi ren lai	2
不见五陵豪杰墓	bu jian wu ling hao jie mu	1
不见卷帘人	bu jian juan lian ren	2
不见去年人	bu jian qu nian ren	8
不见吾狂耳	bu jian wu kuang er	1
不见定王城旧处	bu jian ding wang cheng jiu chu	3
不见当年秦始皇	bu jian dang nian qin shi huang	7
不见旻公三十年	bu jian min gong san shi nian	2
不见有人还	bu jian you ren huan	4
不见玉颜空死处	bu jian yu yan kong si chu	3
不见萱草花	bu jian xuan cao hua	3
不见长安见尘雾	bu jian chang an jian chen wu	1
不见高人王右丞	bu jian gao ren wang you cheng	2
不觉动颜色	bu jue dong yan se	2
不觉年齿暮	bu jue nian chi mu	2
不觉春已深	bu jue chun yi shen	2
不觉春风换柳条	bu jue chun feng huan liu tiao	3
不觉泪下沾衣裳	bu jue lei xia zhan yi shang	2
不觉潸然泪眼低	bu jue shan ran lei yan di	2
不觉碧山暮	bu jue bi shan mu	2
不觉青林没晚潮	bu jue qing lin mo wan chao	3
不记来时路	bu ji lai shi lu	2
不论平地与山尖	bu lun ping di yu shan jian	3
不诚其身矣	bu cheng qi shen yi	2
不贤者识其小者	bu xian zhe shi qi xiao zhe	3
不贵难得之货	bu gui nan de zhi huo	3
不赏而民劝	bu shang er min quan	2
不趁青梅尝煮酒	bu chen qing mei chang zhu jiu	1
不足为外人道也	bu zu wei wai ren dao ye	4
不足以为士矣	bu zu yi wei shi yi	3
不足以为广	bu zu yi wei guang	2
不足以为辩	bu zu yi wei bian	2
不足以事父母	bu zu yi shi fu mu	3
不足以自全	bu zu yi zi quan	2
不辞冰雪为卿热	bu ci bing xue wei qing re	3
不辞长作岭南人	bu ci chang zuo ling nan ren	2
不辨仙源何处寻	bu bian xian yuan he chu xun	4
不过三十日	bu guo san shi ri	2
不过二十里耳	bu guo er shi li er	2
不过数仞而下	bu guo shu ren er xia	1
不近人情焉	bu jin ren qing yan	2
不远千里而来	bu yuan qian li er lai	6
不道九关齐闭	bu dao jiu guan qi bi	2
不道含香贱	bu dao han xiang jian	2
不遣柳条青	bu qian liu tiao qing	2
不遣雨雪来	bu qian yu xue lai	3
不采羞自献	bu cai xiu zi xian	2
不重生男重生女	bu zhong sheng nan zhong sheng nv	4
不问苍生问鬼神	bu wen cang sheng wen gui shen	1
不闻先王之遗言	bu wen xian wang zhi yi yan	3
不闻机杼声	bu wen ji zhu sheng	9
不闻郎马嘶	bu wen lang ma si	1
不随桃李一时开	bu sui tao li yi shi kai	2
不须惆怅怨芳时	bu xu chou chang yuan fang shi	2
不须更待妃子笑	bu xu geng dai fei zi xiao	3
不顾父母之养	bu gu fu mu zhi yang	3
与万化冥合	yu wan hua ming he	2
与人恭而有礼	yu ren gong er you li	5
与人有痔病者	yu ren you zhi bing zhe	3
与其不孙也	yu qi bu sun ye	3
与其在悬崖上展览千年	yu qi zai xuan ya shang zhan lan qian nian	4
与其媚于奥	yu qi mei yu ao	2
与君世世为兄弟	yu jun shi shi wei xiong di	2
与君为新婚	yu jun wei xin hun	2
与君歌一曲	yu jun ge yi qu	7
与君生别离	yu jun sheng bie li	1
与君离别意	yu jun li bie yi	5
与君细细输	yu jun xi xi shu	2
与君营奠复营斋	yu jun ying dian fu ying zhai	2
与君都盖洛阳城	yu jun dou gai luo yang cheng	3
与夏十二登岳阳楼	yu xia shi er deng yue yang lou	2
与天地兮同寿	yu tian di xi tong shou	2
与天地兮比寿	yu tian di xi bi shou	2
与子成二老	yu zi cheng er lao	2
与子路之妻	yu zi lu zhi qi	2
与尔同死生	yu er tong si sheng	2
与尔同销万古愁	yu er tong xiao wan gu chou	5
与山间之明月	yu shan jian zhi ming yue	1
与日月兮同光	yu ri yue xi tong guang	3
与日月兮齐光	yu ri yue xi qi guang	3
与春老别更依依	yu chun lao bie geng yi yi	2
与朋友交而不信乎	yu peng you jiao er bu xin hu	1
与朱元思书	yu zhu yuan si shu	2
与歌者米嘉荣	yu ge zhe mi jia rong	3
与民同乐也	yu min tong le ye	2
与物相刃相靡	yu wu xiang ren xiang mi	2
与百姓同之	yu bai xing tong zhi	2
与蝼蚁何以异	yu lou yi he yi yi	2
与衣狐貉者立	yu yi hu he zhe li	2
与诸子登岘山	yu zhu zi deng xian shan	1
与道相辅而行	yu dao xiang fu er xing	2
且予求无所可用久矣	qie yu qiu wu suo ke yong jiu yi	2
且令鼻观先参	qie ling bi guan xian can	3
且以汝之有身也	qie yi ru zhi you shen ye	3
且共云泉结缘境	qie gong yun quan jie yuan jing	2
且共欢此饮	qie gong huan ci yin	2
且古之君子	qie gu zhi jun zi	2
且向花间留晚照	qie xiang hua jian liu wan zhao	3
且君子之交淡若水	qie jun zi zhi jiao dan ruo shui	3
且喜平安又相见	qie xi ping an you xiang jian	2
且夫天地之间	qie fu tian di zhi jian	4
且夫水之积也不厚	qie fu shui zhi ji ye bu hou	4
且将团扇共徘徊	qie jiang tuan shan gong pai huai	2
且将新火试新茶	qie jiang xin huo shi xin cha	5
且就洞庭赊月色	qie jiu dong ting she yue se	4
且尽卢仝七碗茶	qie jin lu tong qi wan cha	3
且尽手中杯	qie jin shou zhong bei	2
且庸人尚羞之	qie yong ren shang xiu zhi	2
且持梦笔书奇景	qie chi meng bi shu qi jing	3
且放白鹿青崖间	qie fang bai lu qing ya jian	1
且欲与常马等不可得	qie yu yu chang ma deng bu ke de	3
且求容立锥头地	qie qiu rong li zhui tou di	2
且王者之不作	qie wang zhe zhi bu zuo	2
且相如素贱人	qie xiang ru su jian ren	3
且看乘空行万里	qie kan cheng kong xing wan li	2
且看欲尽花经眼	qie kan yu jin hua jing yan	3
且秦强而赵弱	qie qin qiang er zhao ruo	2
且须饮美酒	qie xu yin mei jiu	5
且饮美酒登高楼	qie yin mei jiu deng gao lou	3
世上如侬有几人	shi shang ru nong you ji ren	3
世上空惊故人少	shi shang kong jing gu ren shao	2
世上英雄本无主	shi shang ying xiong ben wu zhu	2
世上荣枯无百年	shi shang rong ku wu bai nian	3
世之议者皆曰	shi zhi yi zhe jie yue	2
世事一场大梦	shi shi yi chang da meng	1
世事两茫茫	shi shi liang mang mang	2
世事洞明皆学问	shi shi dong ming jie xue wen	4
世事短如春梦	shi shi duan ru chun meng	2
世事纷纭从君理	shi shi fen yun cong jun li	3
世事纷纭何足理	shi shi fen yun he zu li	2
世事茫茫难自料	shi shi mang mang nan zi liao	1
世人共卤莽	shi ren gong lu mang	2
世人甚爱牡丹	shi ren shen ai mu dan	1
世人皆欲杀	shi ren jie yu sha	2
世人解听不解赏	shi ren jie ting bu jie shang	2
世俗乍见应怃然	shi su zha jian ying wu ran	2
世俗安得知	shi su an de zhi	2
世味年来薄似纱	shi wei nian lai bo si sha	3
世外无物谁为雄	shi wai wu wu shei wei xiong	2
世幽昧以眩曜兮	shi you mei yi xuan yao xi	2
世披靡矣扶之直	shi pi mi yi fu zhi zhi	2
世溷浊而不分兮	shi hun zhuo er bu fen xi	2
世溷浊而嫉贤兮	shi hun zhuo er ji xian xi	2
世缘终浅道根深	shi yuan zhong qian dao gen shen	2
世胄蹑高位	shi zhou nie gao wei	3
世路如今已惯	shi lu ru jin yi guan	3
世路风波子细谙	shi lu feng bo zi xi an	2
世间已千年	shi jian yi qian nian	2
世间花叶不相伦	shi jian hua ye bu xiang lun	2
世间行乐亦如此	shi jian xing le yi ru ci	3
丘不与易也	qiu bu yu yi ye	1
丘也请从而后也	qiu ye qing cong er hou ye	2
丛菊两开他日泪	cong ju liang kai ta ri lei	3
东临碣石以观沧海	dong lin jie shi yi guan cang hai	1
东临碣石有遗篇	dong lin jie shi you yi pian	5
东关酸风射眸子	dong guan suan feng she mou zi	2
东南见月几回圆	dong nan jian yue ji hui yuan	4
东去三千三百里	dong qu san qian san bai li	2
东坡何事不违时	dong po he shi bu wei shi	2
东坡春向暮	dong po chun xiang mu	2
东城渐觉风光好	dong cheng jian jue feng guang hao	3
东壁图书府	dong bi tu shu fu	3
东夷之人也	dong yi zhi ren ye	3
东家有贤女	dong jia you xian nv	3
东家老女嫁不售	dong jia lao nv jia bu shou	2
东家蝴蝶西家飞	dong jia hu die xi jia fei	2
东尽白云求	dong jin bai yun qiu	3
东峰始含景	dong feng shi han jing	3
东方云海空复空	dong fang yun hai kong fu kong	4
东方须臾高知之	dong fang xu yu gao zhi zhi	2
东方风来满眼春	dong fang feng lai man yan chun	8
东有不臣之吴	dong you bu chen zhi wu	2
东望黄鹤山	dong wang huang he shan	2
东来坐阅七寒暑	dong lai zuo yue qi han shu	2
东来橐驼满旧都	dong lai tuo tuo man jiu du	2
东海有岛夷	dong hai you dao yi	2
东瀛禹域谊相传	dong ying yu yu yi xiang chuan	2
东皋薄暮望	dong gao bo mu wang	2
东篱把酒黄昏后	dong li ba jiu huang hun hou	2
东西四五百回圆	dong xi si wu bai hui yuan	2
东边日出西边雨	dong bian ri chu xi bian yu	19
东连牂牁西连蕃	dong lian zang ke xi lian fan	2
东里子产润色之	dong li zi chan run se zhi	2
东门白下亭	dong men bai xia ting	2
东阁官梅动诗兴	dong ge guan mei dong shi xing	2
东风不与周郎便	dong feng bu yu zhou lang bian	4
东风二月天	dong feng er yue tian	2
东风吹我过湖船	dong feng chui wo guo hu chuan	2
东风吹梦到长安	dong feng chui meng dao chang an	2
东风夜放花千树	dong feng ye fang hua qian shu	6
东风好作阳和使	dong feng hao zuo yang he shi	5
东风已绿瀛洲草	dong feng yi lv ying zhou cao	3
东风摇百草	dong feng yao bai cao	2
东风无力百花残	dong feng wu li bai hua can	2
东风日暖闻吹笙	dong feng ri nuan wen chui sheng	2
东风暗换年华	dong feng an huan nian hua	2
东风泼火雨新休	dong feng po huo yu xin xiu	2
东风洒雨露	dong feng sa yu lu	5
东风第一枝	dong feng di yi zhi	6
东风袅袅泛崇光	dong feng niao niao fan chong guang	2
东风随春归	dong feng sui chun gui	6
东飞伯劳西飞燕	dong fei bo lao xi fei yan	2
丝桐合为琴	si tong he wei qin	2
丝管举离声	si guan ju li sheng	2
丞相祠堂何处寻	cheng xiang ci tang he chu xun	1
两三点雨山前	liang san dian yu shan qian	2
两个黄鹂鸣翠柳	liang ge huang li ming cui liu	11
两乡千里梦相思	liang xiang qian li meng xiang si	2
两人不敢上	liang ren bu gan shang	2
两人对酌山花开	liang ren dui zhuo shan hua kai	1
两公壮藻思	liang gong zhuang zao si	2
两凫相倚睡秋江	liang fu xiang yi shui qiu jiang	2
两别泣不休	liang bie qi bu xiu	2
两句三年得	liang ju san nian de	5
两只黄鹂鸣翠柳	liang zhi huang li ming cui liu	3
两处春光同日尽	liang chu chun guang tong ri jin	2
两处茫茫皆不见	liang chu mang mang jie bu jian	2
两家求合葬	liang jia qiu he zang	2
两小无嫌猜	liang xiao wu xian cai	1
两山排闼送青来	liang shan pai ta song qing lai	1
两岸拍手笑	liang an pai shou xiao	2
两岸桃花夹去津	liang an tao hua jia qu jin	2
两岸猿声啼不住	liang an yuan sheng ti bu zhu	20
两岸罗衣破晕香	liang an luo yi po yun xiang	2
两岸青山相对出	liang an qing shan xiang dui chu	5
两岸青山相送迎	liang an qing shan xiang song ying	2
两廊振法鼓	liang lang zhen fa gu	2
两心之外无人知	liang xin zhi wai wu ren zhi	1
两情若是久长时	liang qing ruo shi jiu chang shi	41
两朝出将复入相	liang chao chu jiang fu ru xiang	2
两朝开济老臣心	liang chao kai ji lao chen xin	3
两水夹明镜	liang shui jia ming jing	3
两涧春淙一灵鹫	liang jian chun cong yi ling jiu	2
两章对秋月	liang zhang dui qiu yue	3
两美其必合兮	liang mei qi bi he xi	2
两耳是知音	liang er shi zhi yin	3
两重心字罗衣	liang chong xin zi luo yi	2
两颗梨须手自煨	liang ke li xu shou zi wei	3
两鬓苍苍十指黑	liang bin cang cang shi zhi hei	4
两龙望标目如瞬	liang long wang biao mu ru shun	3
两龙跃出浮水来	liang long yue chu fu shui lai	5
严陵台下桐江水	yan ling tai xia tong jiang shui	2
严霜五月凋桂枝	yan shuang wu yue diao gui zhi	2
个个公卿欲梦刀	ge ge gong qing yu meng dao	2
个个花开淡墨痕	ge ge hua kai dan mo hen	3
中书夜直梦忠州	zhong shu ye zhi meng zhong zhou	3
