# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
参苓白术胶囊	shen ling bai shu jiao nang	2
参苓白术颗粒	shen ling bai shu ke li	3
参茸	shen rong	10
参茸三肾胶囊	shen rong san shen jiao nang	4
参茸卫生丸	shen rong wei sheng wan	2
参茸壮骨丸	shen rong zhuang gu wan	2
参茸大补膏	shen rong da bu gao	5
参茸强肾片	shen rong qiang shen pian	3
参茸珍宝片	shen rong zhen bao pian	2
参茸白凤丸	shen rong bai feng wan	4
参茸补血酒	shen rong bu xue jiu	2
参茸阿胶	shen rong e jiao	3
参茸鞭丸	shen rong bian wan	2
参茸鹿胎丸	shen rong lu tai wan	2
参莲胶囊	shen lian jiao nang	2
参蛤平喘胶囊	shen ge ping chuan jiao nang	4
参蛾温肾口服液	shen e wen shen kou fu ye	3
参蟾消解胶囊	shen chan xiao jie jiao nang	3
参锁巴戟口服液	shen suo ba ji kou fu ye	2
参阳胶囊	shen yang jiao nang	3
参附汤	shen fu tang	4
参附注射液	shen fu zhu she ye	6
参鹿扶正胶囊	shen lu fu zheng jiao nang	5
参麦注射液	shen mai zhu she ye	1
参龙宁心胶囊	shen long ning xin jiao nang	2
双一	shuang yi	8
双分伪麻片	shuang fen wei ma pian	3
双参龙胶囊	shuang shen long jiao nang	2
双向凝胶电泳	shuang xiang ning jiao dian yong	3
双唑泰栓	shuang zuo tai shuan	3
双喃氟啶	shuang nan fu ding	2
双嘧达莫	shuang mi da mo	3
双嘧达莫片	shuang mi da mo pian	5
双奇胶囊	shuang qi jiao nang	5
双子宫	shuang zi gong	7
双尖牙	shuang jian ya	2
双扑伪麻分散片	shuang pu wei ma fen san pian	3
双扑伪麻片	shuang pu wei ma pian	3
双扑口服液	shuang pu kou fu ye	3
双料喉风含片	shuang liao hou feng han pian	3
双料喉风散	shuang liao hou feng san	5
双歧三联活菌胶囊	shuang qi san lian huo jun jiao nang	2
双歧杆菌	shuang qi gan jun	18
双歧杆菌三联活菌胶囊	shuang qi gan jun san lian huo jun jiao nang	3
双歧杆菌四联活菌片	shuang qi gan jun si lian huo jun pian	3
双氢青蒿素	shuang qing qing hao su	1
双氢青蒿素哌喹片	shuang qing qing hao su pai kui pian	3
双氢青蒿素片	shuang qing qing hao su pian	3
双氯芬酸	shuang lv fen suan	1
双氯芬酸二乙胺乳胶剂	shuang lv fen suan er yi an ru jiao ji	2
双氯芬酸钠	shuang lv fen suan na	1
双氯芬酸钠缓释片	shuang lv fen suan na huan shi pian	4
双氯芬酸钠缓释胶囊	shuang lv fen suan na huan shi jiao nang	2
双氯芬酸钠肠溶片	shuang lv fen suan na chang rong pian	4
双氯芬酸钠贴片	shuang lv fen suan na tie pian	2
双氯芬酸钾	shuang lv fen suan jia	3
双氯芬酸钾片	shuang lv fen suan jia pian	3
双氯西林钠	shuang lv xi lin na	2
双灵固本散	shuang ling gu ben san	9
双环醇片	shuang huan chun pian	2
双瓜糖安胶囊	shuang gua tang an jiao nang	4
双生子研究	shuang sheng zi yan jiu	13
双盲实验	shuang mang shi yan	6
双相障碍	shuang xiang zhang ai	7
双眼复视	shuang yan fu shi	3
双眼竞争	shuang yan jing zheng	3
双眼视差	shuang yan shi cha	4
双箕斗	shuang ji dou	2
双红活血胶囊	shuang hong huo xue jiao nang	5
双肼屈嗪	shuang jing qu qin	2
双胎	shuang tai	3
双胎妊娠	shuang tai ren shen	7
双胎输血综合征	shuang tai shu xue zong he zheng	2
双苓止泻口服液	shuang ling zhi xie kou fu ye	3
双角子宫	shuang jiao zi gong	4
双醋瑞因	shuang cu rui yin	3
双重分离	shuang chong fen li	2
双金胃疡胶囊	shuang jin wei yang jiao nang	3
双金胃肠胶囊	shuang jin wei chang jiao nang	3
双阴道	shuang yin dao	5
双顶径	shuang ding jing	5
双颌前突	shuang he qian tu	4
双香豆素	shuang xiang dou su	4
双黄平喘颗粒	shuang huang ping chuan ke li	2
双黄消炎片	shuang huang xiao yan pian	2
双黄连	shuang huang lian	7
双黄连口服液	shuang huang lian kou fu ye	27
双黄连注射液	shuang huang lian zhu she ye	9
双黄连片	shuang huang lian pian	2
双黄连粉针剂	shuang huang lian fen zhen ji	5
双黄连胶囊	shuang huang lian jiao nang	4
双黄连软胶囊	shuang huang lian ruan jiao nang	4
双黄连颗粒	shuang huang lian ke li	4
反丁烯二酸	fan ding xi er suan	4
反义寡核苷酸	fan yi gua he gan suan	9
反刍胃	fan chu wei	2
反向形成	fan xiang xing cheng	4
反向遗传学	fan xiang yi chuan xue	4
反密码子	fan mi ma zi	6
反射中枢	fan she zhong shu	3
反射光	fan she guang	42
反射动作	fan she dong zuo	5
反射学	fan she xue	5
反射异常	fan she yi chang	1
反射弧	fan she hu	6
反射性癫痫	fan she xing dian xian	4
反射计	fan she ji	1
反应结构	fan ying jie gou	1
反流性胃炎	fan liu xing wei yan	5
反流性食管炎	fan liu xing shi guan yan	7
反甲	fan jia	4
反社会行为	fan she hui xing wei	26
反跳痛	fan tiao tong	6
反转录	fan zhuan lu	6
反转录病毒	fan zhuan lu bing du	18
反转录酶	fan zhuan lu mei	7
发作性睡病	fa zuo xing shui bing	4
发作性睡眠	fa zuo xing shui mian	5
发作期	fa zuo qi	4
发情期	fa qing qi	15
发汗剂	fa han ji	3
发绀	fa gan	14
发育不全	fa yu bu quan	27
发育不良痣	fa yu bu liang zhi	2
发育迟缓	fa yu chi huan	40
发育遗传学	fa yu yi chuan xue	1
发酵虫草菌粉	fa jiao chong cao jun fen	3
取皮机	qu pi ji	3
受体脱敏	shou ti tuo min	1
受体蛋白质	shou ti dan bai zhi	6
受体阻滞剂	shou ti zu zhi ji	10
受盛之官	shou cheng zhi guan	3
变应原	bian ying yuan	6
变应性咳嗽	bian ying xing ke sou	3
变应性接触性皮炎	bian ying xing jie chu xing pi yan	3
变应性皮肤血管炎	bian ying xing pi fu xue guan yan	3
变应性血管炎	bian ying xing xue guan yan	3
变异体	bian yi ti	11
变异性	bian yi xing	35
变异系数	bian yi xi shu	2
变形性骨炎	bian xing xing gu yan	4
变形杆菌	bian xing gan jun	5
变形运动	bian xing yun dong	1
变态反应	bian tai fan ying	6
变态反应学	bian tai fan ying xue	4
变态心理学	bian tai xin li xue	2
变性术	bian xing shu	4
变换器	bian huan qi	29
变色牙	bian se ya	7
叠加法	die jia fa	4
口僻	kou pi	3
口含片	kou han pian	5
口周皮炎	kou zhou pi yan	3
口唇疱疹	kou chun pao zhen	5
口干	kou gan	26
口干症	kou gan zheng	1
口底蜂窝织炎	kou di feng wo zhi yan	3
口服双歧杆菌活菌制剂	kou fu shuang qi gan jun huo jun zhi ji	2
口服水解蛋白	kou fu shui jie dan bai	3
口服混悬剂	kou fu hun xuan ji	2
口服溶液剂	kou fu rong ye ji	6
口服给药	kou fu gei yao	30
口服葡萄糖	kou fu pu tao tang	7
口服葡萄糖粉	kou fu pu tao tang fen	2
口服补液盐	kou fu bu ye yan	8
口服补液盐溶液	kou fu bu ye yan rong ye	3
口服轮状病毒活疫苗	kou fu lun zhuang bing du huo yi miao	6
口炎	kou yan	4
口炎清颗粒	kou yan qing ke li	6
口疮病	kou chuang bing	4
口眼歪斜	kou yan wai xie	8
口腔修复学	kou qiang xiu fu xue	1
口腔内科学	kou qiang nei ke xue	1
口腔医学研究	kou qiang yi xue yan jiu	5
口腔卫生	kou qiang wei sheng	33
口腔学	kou qiang xue	5
口腔崩解片	kou qiang beng jie pian	4
口腔念珠菌病	kou qiang nian zhu jun bing	3
口腔材料学	kou qiang cai liao xue	3
口腔正畸学	kou qiang zheng ji xue	1
口腔溃疡一次宁	kou qiang kui yang yi ci ning	2
口腔溃疡散	kou qiang kui yang san	3
口腔溃疡膜	kou qiang kui yang mo	3
口腔炎喷雾剂	kou qiang yan pen wu ji	2
口腔生物学	kou qiang sheng wu xue	1
口腔疱疹	kou qiang pao zhen	5
口腔疾病	kou qiang ji bing	2
口腔病理学	kou qiang bing li xue	2
口腔种植学	kou qiang zhong zhi xue	7
口腔科	kou qiang ke	13
口腔科学	kou qiang ke xue	1
口腔粘膜病	kou qiang zhan mo bing	4
口腔粘膜病学	kou qiang zhan mo bing xue	2
口腔粘膜白斑病	kou qiang zhan mo bai ban bing	3
口腔红斑	kou qiang hong ban	3
口腔血管瘤	kou qiang xue guan liu	2
口腔解剖生理学	kou qiang jie pou sheng li xue	1
口腔预防保健	kou qiang yu fang bao jian	6
口腔预防医学	kou qiang yu fang yi xue	4
口腔颌面外科学	kou qiang he mian wai ke xue	5
口腔颌面部肿瘤	kou qiang he mian bu zhong liu	4
口舌生疮	kou she sheng chuang	1
口角炎	kou jiao yan	3
口蹄病	kou ti bing	3
口轮匝肌	kou lun za ji	4
口道	kou dao	21
口针	kou zhen	1
古今图书集成	gu jin tu shu ji cheng	38
古代哲学	gu dai zhe xue	17
古拉定	gu la ding	3
古汉养生精口服液	gu han yang sheng jing kou fu ye	4
古汉养生精片	gu han yang sheng jing pian	2
叩诊	kou zhen	3
可乐定	ke le ding	8
可乐定控释贴	ke le ding kong shi tie	5
可乐必妥	ke le bi tuo	3
可信区间	ke xin qu jian	2
可利迈仙	ke li mai xian	2
可力地高辛片	ke li di gao xin pian	2
可变剪接	ke bian jian jie	3
可变区	ke bian qu	9
可吸收线	ke xi shou xian	5
可吸收缝合线	ke xi shou feng he xian	3
可吸收缝线	ke xi shou feng xian	1
可复性疝	ke fu xing shan	2
可待因	ke dai yin	28
可愈糖浆	ke yu tang jiang	5
可拉明	ke la ming	3
可摘局部义齿	ke zhai ju bu yi chi	3
可溶性止血纱布	ke rong xing zhi xue sha bu	4
可的松	ke di song	20
可立克	ke li ke	8
可见光谱	ke jian guang pu	22
右丙氧芬	you bing yang fen	3
右位心	you wei xin	6
右半结肠切除术	you ban jie chang qie chu shu	5
右归丸	you gui wan	6
右心室	you xin shi	9
右心室双出口	you xin shi shuang chu kou	4
右心房	you xin fang	19
右旋体	you xuan ti	1
右旋布洛芬栓	you xuan bu luo fen shuan	2
右旋糖酐	you xuan tang gan	2
右旋糖酐铁	you xuan tang gan tie	3
右旋糖酐铁注射液	you xuan tang gan tie zhu she ye	2
右束支传导阻滞	you shu zhi chuan dao zu zhi	6
右美沙芬	you mei sha fen	4
右美沙芬片	you mei sha fen pian	3
右芬氟拉明	you fen fu la ming	4
叶状体	ye zhuang ti	11
叶绿体基质	ye lv ti ji zhi	1
叶酸片	ye suan pian	7
叶酸缺乏症	ye suan que fa zheng	1
叶金排石胶囊	ye jin pai shi jiao nang	3
叶黄素	ye huang su	47
司他夫定	si ta fu ding	3
司他夫定胶囊	si ta fu ding jiao nang	2
司可巴比妥	si ke ba bi tuo	2
司可林	si ke lin	3
司坦唑醇	si tan zuo chun	4
司帕沙星	si pa sha xing	5
司帕沙星片	si pa sha xing pian	3
司来吉兰	si lai ji lan	2
司氟沙星	si fu sha xing	5
司法心理学	si fa xin li xue	4
司盘	si pan	3
司米安	si mi an	5
合并伤	he bing shang	5
合成酶	he cheng mei	36
合欢皮	he huan pi	6
合欢花	he huan hua	7
合理情绪疗法	he li qing xu liao fa	4
合瓣	he ban	2
合胞体	he bao ti	3
合谷	he gu	2
合谷穴	he gu xue	1
合酶	he mei	39
吉祥草	ji xiang cao	2
吉米沙星	ji mi sha xing	5
吉西他滨	ji xi ta bin	18
吉非替尼	ji fei ti ni	5
吉非罗齐	ji fei luo qi	3
同仁乌鸡白凤丸	tong ren wu ji bai feng wan	4
同仁大活络丸	tong ren da huo luo wan	4
同仁安神丸	tong ren an shen wan	4
同化激素	tong hua ji su	4
同卵双生	tong luan shuang sheng	8
同基因骨髓移植	tong ji yin gu sui yi zhi	3
同工酶	tong gong mei	12
同形反应	tong xing fan ying	3
同步化	tong bu hua	10
同步培养	tong bu pei yang	4
同步生长	tong bu sheng zhang	4
同源四倍体	tong yuan si bei ti	3
同源性	tong yuan xing	45
同源染色体	tong yuan ran se ti	10
同病异治	tong bing yi zhi	5
同种抗体	tong zhong kang ti	3
同种抗原	tong zhong kang yuan	3
同系移植	tong xi yi zhi	2
同线性	tong xian xing	4
同胞竞争障碍	tong bao jing zheng zhang ai	4
后交通动脉	hou jiao tong dong mai	3
后发性白内障	hou fa xing bai nei zhang	2
后叶	hou ye	8
后囟	hou xin	3
后尿道	hou niao dao	7
后放	hou fang	12
后溪	hou xi	24
后溪穴	hou xi xue	5
后牙	hou ya	8
后纵隔	hou zong ge	5
后纵韧带	hou zong ren dai	1
后负荷	hou fu he	6
后遗效应	hou yi xiao ying	4
后阴	hou yin	6
后顶	hou ding	7
后颊	hou jia	2
后马托品	hou ma tuo pin	3
吐根糖浆	tu gen tang jiang	2
吐血病	tu xie bing	3
向心收缩	xiang xin shou suo	2
向触性	xiang chu xing	3
吕炳奎	lv bing kui	4
吕留良	lv liu liang	6
吗丁啉	ma ding lin	8
吗啉胍	ma lin gua	5
吗啡中毒	ma fei zhong du	4
吗啡注射液	ma fei zhu she ye	3
吗替麦考酚酯	ma ti mai kao fen zhi	1
吗替麦考酚酯片	ma ti mai kao fen zhi pian	2
吗替麦考酚酯胶囊	ma ti mai kao fen zhi jiao nang	2
吗氯贝胺	ma lv bei an	1
吞咽困难	tun yan kun nan	27
吞噬体	tun shi ti	4
吞噬作用	tun shi zuo yong	48
吞噬细胞	tun shi xi bao	24
吞气症	tun qi zheng	3
吞饮	tun yin	4
吡哌酸	bi pai suan	3
吡啶甲酸	bi ding jia suan	7
吡喹酮	bi kui tong	5
吡喹酮片	bi kui tong pian	4
吡嗪酰胺	bi qin xian an	3
吡拉西坦	bi la xi tan	7
吡拉西坦片	bi la xi tan pian	2
吡柔比星	bi rou bi xing	2
吡格列酮	bi ge lie tong	4
吡罗昔康片	bi luo xi kang pian	3
吡美莫司	bi mei mo si	2
吡诺克辛	bi nuo ke xin	3
吡诺克辛钠滴眼液	bi nuo ke xin na di yan ye	2
吡贝地尔	bi bei di er	1
含氟牙膏	han fu ya gao	9
含氯消毒剂	han lv xiao du ji	2
含氯石灰	han lv shi hui	2
含牙囊肿	han ya nang zhong	3
含珠停	han zhu ting	3
含量均匀度	han liang jun yun du	1
含铁血黄素	han tie xue huang su	3
听会穴	ting hui xue	4
听宫	ting gong	3
听小骨	ting xiao gu	6
听幻觉	ting huan jue	4
听性脑干反应	ting xing nao gan fan ying	4
听神经瘤	ting shen jing liu	3
听觉中枢	ting jue zhong shu	3
听觉过敏	ting jue guo min	20
听觉适应	ting jue shi ying	3
吮吸反射	shun xi fan she	2
吲哚美辛片	yin duo mei xin pian	3
吲哚美辛肠溶片	yin duo mei xin chang rong pian	2
吲达帕胺	yin da pa an	4
吲达帕胺片	yin da pa an pian	3
吴太咽炎片	wu tai yan yan pian	2
吴新荣	wu xin rong	31
吴昆	wu kun	31
吴瑭	wu tang	3
吴祖泽	wu zu ze	7
吴茱萸	wu zhu yu	8
吴茱萸汤	wu zhu yu tang	2
吴萸	wu yu	4
吴谦	wu qian	19
吴阶平	wu jie ping	10
吴鞠通	wu ju tong	6
吸入剂	xi ru ji	11
吸入性损伤	xi ru xing sun shang	10
吸入性炭疽	xi ru xing tan ju	5
吸入性肺炎	xi ru xing fei yan	18
吸入麻醉	xi ru ma zui	1
吸入麻醉药	xi ru ma zui yao	3
吸吮线虫病	xi shun xian chong bing	4
吸宫术	xi gong shu	3
吸引管	xi yin guan	5
吸收作用	xi shou zuo yong	2
吸收剂量	xi shou ji liang	3
吸收剂量率	xi shou ji liang lv	10
吸根	xi gen	6
吸虫病	xi chong bing	5
吸血昆虫	xi xue kun chong	6
吸附能	xi fu neng	3
呃逆	e ni	8
呆小病	dai xiao bing	1
告知义务	gao zhi yi wu	12
呋喃唑酮	fu nan zuo tong	8
呋喃唑酮片	fu nan zuo tong pian	4
呋喃坦啶	fu nan tan ding	2
呋喃妥因	fu nan tuo yin	3
呋喃妥因肠溶片	fu nan tuo yin chang rong pian	3
呋喃果糖苷酶	fu nan guo tang gan mei	3
呋喃甲醛	fu nan jia quan	1
呋喃硫胺	fu nan liu an	2
呋喃硫胺片	fu nan liu an pian	3
呋喃西林	fu nan xi lin	7
呋喃西林溶液	fu nan xi lin rong ye	3
呋塞米	fu sai mi	9
呋塞米注射液	fu sai mi zhu she ye	5
呋塞米片	fu sai mi pian	2
呋麻滴鼻液	fu ma di bi ye	1
呕吐中枢	ou tu zhong shu	1
周一岳	zhou yi yue	5
周围性面瘫	zhou wei xing mian tan	6
周围神经	zhou wei shen jing	10
周围神经病	zhou wei shen jing bing	9
周围神经系统	zhou wei shen jing xi tong	20
周围血管疾病	zhou wei xue guan ji bing	6
周围血管病	zhou wei xue guan bing	7
周期性精神病	zhou qi xing jing shen bing	3
周期性麻痹	zhou qi xing ma bi	5
周氏回生丸	zhou shi hui sheng wan	2
周荣	zhou rong	42
呼吸内科	hu xi nei ke	28
呼吸孔	hu xi kong	4
呼吸根	hu xi gen	2
呼吸酶	hu xi mei	4
命名性失语	ming ming xing shi yu	8
命名性失语症	ming ming xing shi yu zheng	8
命门火衰	ming men huo shuai	4
命门穴	ming men xue	6
命题学习	ming ti xue xi	2
咀嚼片	ju jue pian	8
咀嚼肌	ju jue ji	7
和中理脾丸	he zhong li pi wan	2
和兴白花油	he xing bai hua you	2
和络舒肝胶囊	he luo shu gan jiao nang	2
和胃整肠丸	he wei zheng chang wan	2
和胃止痛	he wei zhi tong	5
和胃降逆	he wei jiang ni	5
和血明目片	he xue ming mu pian	3
和血胶囊	he xue jiao nang	2
和解少阳	he jie shao yang	3
咖啡斑	ka fei ban	7
咖啡酸	ka fei suan	10
咨询心理学	zi xun xin li xue	2
咪唑斯汀	mi zuo si ting	4
咪唑斯汀缓释片	mi zuo si ting huan shi pian	2
咪唑立宾片	mi zuo li bin pian	2
咪康唑	mi kang zuo	4
咪康唑氯倍他索乳膏	mi kang zuo lv bei ta suo ru gao	2
咪达唑仑	mi da zuo lun	20
咪达唑仑注射液	mi da zuo lun zhu she ye	2
咬指甲	yao zhi jia	1
咬肌	yao ji	11
咬肌间隙感染	yao ji jian xi gan ran	3
咯血病	ka xue bing	3
咳喘	ke chuan	5
咳喘停膏	ke chuan ting gao	3
咳喘宁	ke chuan ning	5
咳喘宁口服液	ke chuan ning kou fu ye	3
咳喘宁胶囊	ke chuan ning jiao nang	4
咳喘舒片	ke chuan shu pian	3
咳嗽病	ke sou bing	2
咳嗽痰多	ke sou tan duo	1
咳宁糖浆	ke ning tang jiang	2
咳宁胶囊	ke ning jiao nang	3
咳必清	ke bi qing	6
咳欣康片	ke xin kang pian	4
咳特灵	ke te ling	4
咳特灵片	ke te ling pian	4
咳特灵胶囊	ke te ling jiao nang	6
咳痰	ke tan	5
咳痰清糖浆	ke tan qing tang jiang	2
咳舒糖浆	ke shu tang jiang	3
咳露口服液	ke lu kou fu ye	2
咽后壁脓肿	yan hou bi nong zhong	3
咽后间隙	yan hou jian xi	5
咽喉异物	yan hou yi wu	5
咽喉溃疡	yan hou kui yang	3
咽喉痛	yan hou tong	6
咽峡炎	yan xia yan	1
咽扁桃体	yan bian tao ti	2
咽拭子	yan shi zi	36
咽旁间隙	yan pang jian xi	2
咽炎含片	yan yan han pian	3
咽炎清片	yan yan qing pian	2
咽炎片	yan yan pian	6
咽结膜热	yan jie mo re	6
咽肌痉挛	yan ji jing luan	5
咽部异感症	yan bu yi gan zheng	3
咽鼓管咽口	yan gu guan yan kou	5
品行障碍	pin xing zhang ai	11
哈乐胶囊	ha le jiao nang	2
哈勒曼	ha le man	3
哈蟆油	ha ma you	2
哈西奈德乳膏	ha xi nai de ru gao	2
哌唑嗪	pai zuo qin	5
哌喹	pai kui	5
哌嗪	pai qin	7
哌拉西林	pai la xi lin	17
哌拉西林舒巴坦	pai la xi lin shu ba tan	4
哌拉西林钠	pai la xi lin na	3
哌拉西林钠舒巴坦钠	pai la xi lin na shu ba tan na	4
哑门	ya men	4
哑门穴	ya men xue	3
哨点医院	shao dian yi yuan	11
哨点监测	shao dian jian ce	10
哮吼	xiao hou	3
哮喘性支气管炎	xiao chuan xing zhi qi guan yan	4
哮喘持续状态	xiao chuan chi xu zhuang tai	1
哮喘胶囊	xiao chuan jiao nang	2
哮病	xiao bing	4
哮鸣音	xiao ming yin	7
哲学基础	zhe xue ji chu	27
哺乳期	bu ru qi	39
唇外翻	chun wai fan	4
唇炎	chun yan	2
唇珠	chun zhu	1
唇瓣	chun ban	32
唇疱疹	chun pao zhen	5
唇癌	chun ai	6
唇红缘	chun hong yuan	3
唇腺	chun xian	2
唇裂修复术	chun lie xiu fu shu	3
唇面	chun mian	3
唐宗海	tang zong hai	3
唐慎微	tang shen wei	3
唑来膦酸	zuo lai lin suan	4
唑来膦酸注射液	zuo lai lin suan zhu she ye	2
唯达宁	wei da ning	5
唾液分泌	tuo ye fen mi	4
唾液检测	tuo ye jian ce	1
唾液淀粉酶	tuo ye dian fen mei	5
唾液管	tuo ye guan	3
唾液腺	tuo ye xian	25
唾液腺炎	tuo ye xian yan	3
唾液酸	tuo ye suan	42
唾液酸酶	tuo ye suan mei	2
唾腺	tuo xian	5
商丘穴	shang qiu xue	1
商曲	shang qu	3
商阳	shang yang	4
商阳穴	shang yang xue	5
啮齿类	nie chi lei	40
啰音	luo yin	1
善存银片	shan cun yin pian	4
善宁	shan ning	5
喉上神经	hou shang shen jing	3
喉关	hou guan	2
喉咽	hou yan	2
喉咽清口服液	hou yan qing kou fu ye	2
喉囊肿	hou nang zhong	4
喉头水肿	hou tou shui zhong	1
喉室	hou shi	4
喉息肉	hou xi rou	3
喉气管炎	hou qi guan yan	5
喉水肿	hou shui zhong	1
喉爽	hou shuang	5
喉狭窄	hou xia zhai	3
喉疾灵胶囊	hou ji ling jiao nang	3
喉痉挛	hou jing luan	2
喉痛灵片	hou tong ling pian	2
喉痹	hou bi	1
喉瘤	hou liu	3
喉癌	hou ai	38
喉白斑病	hou bai ban bing	2
喉结核	hou jie he	4
喉罩	hou zhao	1
喉肌	hou ji	5
喉腔	hou qiang	8
喉角化症	hou jiao hua zheng	3
喉返神经	hou fan shen jing	17
喉返神经损伤	hou fan shen jing sun shang	5
