# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
乳根穴	ru gen xue	3
乳清蛋白粉	ru qing dan bai fen	4
乳牙列	ru ya lie	4
乳牙早失	ru ya zao shi	4
乳牙滞留	ru ya zhi liu	5
乳痂	ru jia	21
乳痛症	ru tong zheng	4
乳癖消片	ru pi xiao pian	4
乳癖清胶囊	ru pi qing jiao nang	2
乳突炎	ru tu yan	3
乳糖酸红霉素	ru tang suan hong mei su	4
乳糜尿	ru mi niao	5
乳糜微粒	ru mi wei li	10
乳糜胸	ru mi xiong	2
乳腺囊肿	ru xian nang zhong	1
乳腺增生	ru xian zeng sheng	1
乳腺外科	ru xian wai ke	5
乳腺导管扩张	ru xian dao guan kuo zhang	4
乳腺康注射液	ru xian kang zhu she ye	2
乳腺炎	ru xian yan	35
乳腺癌改良根治术	ru xian ai gai liang gen zhi shu	1
乳腺癌根治术	ru xian ai gen zhi shu	6
乳腺纤维腺瘤	ru xian xian wei xian liu	6
乳腺结核	ru xian jie he	3
乳腺腺病	ru xian xian bing	2
乳膏	ru gao	7
乳膏剂	ru gao ji	6
乳酶生	ru mei sheng	6
乳酶生片	ru mei sheng pian	5
乳酸亚铁糖浆	ru suan ya tie tang jiang	2
乳酸依沙吖啶	ru suan yi sha a ding	2
乳酸依沙吖啶注射液	ru suan yi sha a ding zhu she ye	3
乳酸依沙吖啶溶液	ru suan yi sha a ding rong ye	2
