# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
链地址法	lian di zhi fa	11
链式作业	lian shi zuo ye	5
链式前向星	lian shi qian xiang xing	9
链式存储	lian shi cun chu	1
链式存储结构	lian shi cun chu jie gou	2
链式栈	lian shi zhan	9
链式编程	lian shi bian cheng	10
链式连接	lian shi lian jie	5
链式队列	lian shi dui lie	10
链接图层	lian jie tu ceng	5
链接地址	lian jie di zhi	1
链接属性	lian jie shu xing	11
链接库	lian jie ku	13
链接服务器	lian jie fu wu qi	1
链接脚本	lian jie jiao ben	11
链接表	lian jie biao	11
链接错误	lian jie cuo wu	3
链表	lian biao	49
链表删除	lian biao shan chu	9
链表反转	lian biao fan zhuan	10
链表合并	lian biao he bing	10
链表排序	lian biao pai xu	10
链表操作	lian biao cao zuo	11
链表翻转	lian biao fan zhuan	9
链路加密	lian lu jia mi	1
链路层	lian lu ceng	10
链路管理	lian lu guan li	8
链队列	lian dui lie	10
锁住数据库	suo zhu shu ju ku	8
锁住记录	suo zhu ji lu	6
锁定参考线	suo ding can kao xian	6
锁定工具栏	suo ding gong ju lan	5
锁定浏览器	suo ding liu lan qi	5
锁机制	suo ji zhi	4
锁步	suo bu	6
锁相容性	suo xiang rong xing	7
锁表	suo biao	12
锐化边缘	rui hua bian yuan	2
错排	cuo pai	10
错排公式	cuo pai gong shi	9
错误代码	cuo wu dai ma	24
错误信息	cuo wu xin xi	49
错误分析	cuo wu fen xi	1
错误处理	cuo wu chu li	9
错误异常	cuo wu yi chang	11
错误扩散	cuo wu kuo san	1
错误控制	cuo wu kong zhi	1
错误提示	cuo wu ti shi	13
错误收集	cuo wu shou ji	7
错误数据	cuo wu shu ju	6
错误整理	cuo wu zheng li	6
错误日志	cuo wu ri zhi	1
错误条件	cuo wu tiao jian	1
错误模型	cuo wu mo xing	7
错误模式	cuo wu mo shi	1
错误码	cuo wu ma	9
错误类别	cuo wu lei bie	7
错误类型	cuo wu lei xing	2
错误经验	cuo wu jing yan	2
错误解决	cuo wu jie jue	11
错误解决办法	cuo wu jie jue ban fa	9
错误解决方式	cuo wu jie jue fang shi	5
错误解决方案	cuo wu jie jue fang an	9
错误记录	cuo wu ji lu	3
错误诊断	cuo wu zhen duan	2
错误调试	cuo wu tiao shi	9
错误问题	cuo wu wen ti	5
错误集	cuo wu ji	6
错误集合	cuo wu ji he	1
错误集锦	cuo wu ji jin	4
错误页面	cuo wu ye mian	3
错误预测	cuo wu yu ce	9
锚点	mao dian	8
键位	jian wei	32
键值	jian zhi	32
键值对	jian zhi dui	6
键值编码	jian zhi bian ma	8
键值观察	jian zhi guan cha	8
键盘事件	jian pan shi jian	13
键盘回收	jian pan hui shou	8
键盘处理	jian pan chu li	9
键盘录入	jian pan lu ru	12
键盘控制器	jian pan kong zhi qi	9
键盘监听	jian pan jian ting	1
键盘输入	jian pan shu ru	20
键盘通知	jian pan tong zhi	8
键盘遮挡	jian pan zhe dang	9
键盘钩子	jian pan gou zi	9
键盘隐藏	jian pan yin cang	11
键盘高度	jian pan gao du	4
键码	jian ma	11
键记录器	jian ji lu qi	1
镜像源	jing xiang yuan	10
镜头光晕	jing tou guang yun	3
镜面反射光	jing mian fan she guang	9
长商银	chang shang yin	7
长度域	chang du yu	1
长按事件	chang an shi jian	12
长按手势	chang an shou shi	10
长整数	chang zheng shu	1
长轮询	chang lun xun	4
长连接	chang lian jie	14
长链接	chang lian jie	10
门延迟	men yan chi	2
门阵列	men zhen lie	22
门面模式	men mian mo shi	12
闪回归档	shan hui gui dang	7
闪速存储器	shan su cun chu qi	6
闭合式	bi he shi	3
闭合环路	bi he huan lu	1
闭合电路	bi he dian lu	1
闭环控制	bi huan kong zhi	3
问答系统	wen da xi tong	3
问题修复	wen ti xiu fu	12
问题分析	wen ti fen xi	9
问题备忘	wen ti bei wang	6
问题定位	wen ti ding wei	11
问题归约	wen ti gui yue	6
问题归纳	wen ti gui na	4
问题报告	wen ti bao gao	14
问题排查	wen ti pai cha	11
问题求解	wen ti qiu jie	5
问题状态	wen ti zhuang tai	9
问题空间	wen ti kong jian	7
问题解决方案	wen ti jie jue fang an	8
问题解决方法	wen ti jie jue fang fa	11
问题诊断	wen ti zhen duan	9
问题集	wen ti ji	9
问题集合	wen ti ji he	1
闰年判断	run nian pan duan	8
闲置时间	xian zhi shi jian	11
间协议	jian xie yi	10
间接地址	jian jie di zhi	7
间接寻址	jian jie xun zhi	11
间隔帧	jian ge zhen	7
间隔计时器	jian ge ji shi qi	7
阅读程序	yue du cheng xu	12
阈值分割	yu zhi fen ge	8
阈值处理	yu zhi chu li	1
队列和栈	dui lie he zhan	10
队列表	dui lie biao	9
防御式编程	fang yu shi bian cheng	3
防护体系	fang hu ti xi	1
防水墙	fang shui qiang	3
防注入	fang zhu ru	9
防火墙配置	fang huo qiang pei zhi	12
防病毒	fang bing du	22
防病毒程序	fang bing du cheng xu	1
防窃听	fang qie ting	1
阴影效果	yin ying xiao guo	5
阴极射线管	yin ji she xian guan	23
阵列信号处理	zhen lie xin hao chu li	1
阵列处理	zhen lie chu li	7
阶跃函数	jie yue han shu	16
阶跃响应	jie yue xiang ying	11
阻塞原语	zu se yuan yu	8
阻塞状态	zu se zhuang tai	3
阻塞网络	zu se wang luo	1
阻塞队列	zu se dui lie	13
阻塞非阻塞	zu se fei zu se	9
阻抗匹配	zu kang pi pei	16
阿姆达尔定律	a mu da er ding lv	1
阿里云服务器	a li yun fu wu qi	11
阿里笔试	a li bi shi	7
阿里聚安全	a li ju an quan	8
附加任务	fu jia ren wu	4
附加备注	fu jia bei zhu	1
附加数据库	fu jia shu ju ku	11
附加文档	fu jia wen dang	6
附属程序集	fu shu cheng xu ji	5
降级运行	jiang ji yun xing	5
限制图像	xian zhi tu xiang	7
限制字数	xian zhi zi shu	12
限制输入	xian zhi shu ru	1
限定符	xian ding fu	10
除法器	chu fa qi	3
随机函数	sui ji han shu	7
随机化	sui ji hua	44
随机化算法	sui ji hua suan fa	4
随机变化	sui ji bian hua	7
随机噪声	sui ji zao sheng	2
随机增量法	sui ji zeng liang fa	7
随机处理	sui ji chu li	8
随机字符串	sui ji zi fu chuan	1
随机存储器	sui ji cun chu qi	10
随机存取	sui ji cun qu	49
随机存取内存	sui ji cun qu nei cun	1
随机扫描	sui ji sao miao	1
随机故障	sui ji gu zhang	5
随机数序列	sui ji shu xu lie	3
随机数生成	sui ji shu sheng cheng	8
随机文件	sui ji wen jian	10
随机查找	sui ji cha zhao	9
随机梯度下降	sui ji ti du xia jiang	3
随机森林	sui ji sen lin	6
随机测试	sui ji ce shi	7
随机算法	sui ji suan fa	5
随机调度	sui ji diao du	7
随机颜色	sui ji yan se	10
隐含属性	yin han shu xing	9
隐式动画	yin shi dong hua	10
隐式参数	yin shi can shu	3
隐式图	yin shi tu	9
隐式图搜索	yin shi tu sou suo	7
隐式意图	yin shi yi tu	11
隐式类型转换	yin shi lei xing zhuan huan	3
隐式转换	yin shi zhuan huan	10
隐蔽信道	yin bi xin dao	5
隐藏域	yin cang yu	12
隐藏延时	yin cang yan shi	6
隐藏延迟	yin cang yan chi	6
隐藏文件	yin cang wen jian	2
隐藏标题栏	yin cang biao ti lan	10
隐藏状态栏	yin cang zhuang tai lan	11
隐藏软键盘	yin cang ruan jian pan	10
隐藏键盘	yin cang jian pan	2
隐藏面消除	yin cang mian xiao chu	6
隐错	yin cuo	7
隐面消除	yin mian xiao chu	5
隔离机制	ge li ji zhi	2
隔离级	ge li ji	8
隔离级别	ge li ji bie	4
隔行变色	ge hang bian se	9
隔行扫描	ge hang sao miao	2
集中控制	ji zhong kong zhi	15
集合代码	ji he dai ma	7
集合排序	ji he pai xu	11
集合操作	ji he cao zuo	1
集合映射	ji he ying she	4
集合框架	ji he kuang jia	13
集合类	ji he lei	14
集合类型	ji he lei xing	13
集合视图	ji he shi tu	10
集合语言	ji he yu yan	5
集合运算	ji he yun suan	1
集成学习	ji cheng xue xi	12
集成开发环境	ji cheng kai fa huan jing	30
集成模式	ji cheng mo shi	10
集成测试	ji cheng ce shi	9
集算报表	ji suan bao biao	8
集群技术	ji qun ji shu	10
集群搭建	ji qun da jian	11
集群环境	ji qun huan jing	3
集群监控	ji qun jian kong	10
集群管理	ji qun guan li	12
集群部署	ji qun bu shu	11
集群配置	ji qun pei zhi	12
集肤效应	ji fu xiao ying	2
零件图	ling jian tu	4
零件库	ling jian ku	6
零拷贝	ling kao bei	10
零知识证明	ling zhi shi zheng ming	1
零配置	ling pei zhi	3
雾化效果	wu hua xiao guo	3
需求函数	xu qiu han shu	2
需求分析	xu qiu fen xi	10
需求审查	xu qiu shen cha	5
需求工程	xu qiu gong cheng	12
需求管理	xu qiu guan li	10
需求规约	xu qiu gui yue	7
需求阶段	xu qiu jie duan	10
需求驱动	xu qiu qu dong	2
需求验证	xu qiu yan zheng	8
霍夫变换	huo fu bian huan	10
霍夫曼编码	huo fu man bian ma	19
青蛙跳台阶	qing wa tiao tai jie	7
静多态	jing duo tai	6
静态代理	jing tai dai li	12
静态代理模式	jing tai dai li mo shi	9
静态代码块	jing tai dai ma kuai	13
静态代码检查	jing tai dai ma jian cha	9
静态全局变量	jing tai quan ju bian liang	12
静态函数	jing tai han shu	4
静态分析	jing tai fen xi	8
静态分析程序	jing tai fen xi cheng xu	6
静态初始化	jing tai chu shi hua	1
静态加载	jing tai jia zai	1
静态化	jing tai hua	1
静态博客	jing tai bo ke	9
静态变量	jing tai bian liang	3
静态块	jing tai kuai	12
静态域	jing tai yu	1
静态域名	jing tai yu ming	6
静态域名解析	jing tai yu ming jie xi	5
静态存储	jing tai cun chu	13
静态存储分配	jing tai cun chu fen pei	9
静态存储器	jing tai cun chu qi	8
静态导入	jing tai dao ru	1
静态局部变量	jing tai ju bu bian liang	1
静态属性	jing tai shu xing	1
静态工厂	jing tai gong chang	12
静态工厂方法	jing tai gong chang fang fa	13
静态库	jing tai ku	2
静态成员	jing tai cheng yuan	1
静态成员函数	jing tai cheng yuan han shu	16
静态成员变量	jing tai cheng yuan bian liang	13
静态控件	jing tai kong jian	10
静态数据区	jing tai shu ju qu	11
静态数据成员	jing tai shu ju cheng yuan	3
静态文件	jing tai wen jian	3
静态方法	jing tai fang fa	2
静态查找	jing tai cha zhao	9
静态检查	jing tai jian cha	2
静态注册	jing tai zhu ce	12
静态测试	jing tai ce shi	6
静态类	jing tai lei	1
静态绑定	jing tai bang ding	4
静态缓冲	jing tai huan chong	6
静态缓冲区	jing tai huan chong qu	8
静态编译	jing tai bian yi	4
静态网络	jing tai wang luo	7
静态网页	jing tai wang ye	4
静态调度	jing tai diao du	2
静态资源	jing tai zi yuan	3
静态路由	jing tai lu you	1
静态重定位	jing tai chong ding wei	8
静态链接	jing tai lian jie	13
静态链接库	jing tai lian jie ku	13
静态链表	jing tai lian biao	10
静态页面	jing tai ye mian	1
静止图像	jing zhi tu xiang	10
静止图像压缩	jing zhi tu xiang ya suo	5
静默卸载	jing mo xie zai	8
静默安装	jing mo an zhuang	3
非主属性	fei zhu shu xing	10
非受查异常	fei shou cha yi chang	6
非均匀有理	fei jun yun you li	7
非对称加密	fei dui chen jia mi	11
非对称密码	fei dui chen mi ma	1
非屏蔽双绞线	fei ping bi shuang jiao xian	2
非平衡树	fei ping heng shu	7
非托管	fei tuo guan	4
非托管代码	fei tuo guan dai ma	1
非托管函数	fei tuo guan han shu	7
非模态对话框	fei mo tai dui hua kuang	10
非正式协议	fei zheng shi xie yi	4
非比较排序	fei bi jiao pai xu	8
非法字符	fei fa zi fu	1
非激活	fei ji huo	1
非线性编辑	fei xian xing bian ji	5
非线性量化	fei xian xing liang hua	1
非聚集索引	fei ju ji suo yin	12
非英特尔	fei ying te er	1
非递归	fei di gui	1
非递归优化	fei di gui you hua	6
非递归遍历	fei di gui bian li	11
非阻塞	fei zu se	21
非零值	fei ling zhi	5
非静态	fei jing tai	6
面光源	mian guang yuan	7
面向分析	mian xiang fen xi	1
面向切面	mian xiang qie mian	12
面向切面编程	mian xiang qie mian bian cheng	1
面向制造	mian xiang zhi zao	5
面向对象分析	mian xiang dui xiang fen xi	11
面向对象原则	mian xiang dui xiang yuan ze	9
面向对象建模	mian xiang dui xiang jian mo	1
面向对象思想	mian xiang dui xiang si xiang	12
面向对象技术	mian xiang dui xiang ji shu	12
面向对象数据	mian xiang dui xiang shu ju	7
面向对象方法	mian xiang dui xiang fang fa	1
面向对象测试	mian xiang dui xiang ce shi	6
面向对象编程	mian xiang dui xiang bian cheng	26
面向对象设计	mian xiang dui xiang she ji	7
面向对象语言	mian xiang dui xiang yu yan	14
面向对象高级	mian xiang dui xiang gao ji	8
面向接口编程	mian xiang jie kou bian cheng	13
面向控制	mian xiang kong zhi	1
面向数据结构	mian xiang shu ju jie gou	7
面向方面编程	mian xiang fang mian bian cheng	11
面向服务	mian xiang fu wu	7
面向机器语言	mian xiang ji qi yu yan	5
面向构件	mian xiang gou jian	5
面向用户	mian xiang yong hu	1
面向过程	mian xiang guo cheng	2
面向过程编程	mian xiang guo cheng bian cheng	1
面向过程语言	mian xiang guo cheng yu yan	9
面向连接	mian xiang lian jie	2
面向连接协议	mian xiang lian jie xie yi	8
面密度	mian mi du	5
面经	mian jing	16
音圈电机	yin quan dian ji	5
音视频	yin shi pin	32
音视频传输	yin shi pin chuan shu	7
音视频同步	yin shi pin tong bu	9
音视频基础	yin shi pin ji chu	5
音视频处理	yin shi pin chu li	1
音视频开发	yin shi pin kai fa	8
音视频编解码	yin shi pin bian jie ma	1
音量调节	yin liang tiao jie	12
音频合成	yin pin he cheng	10
音频处理	yin pin chu li	13
音频处理技术	yin pin chu li ji shu	8
音频播放	yin pin bo fang	14
音频数据库	yin pin shu ju ku	6
音频格式	yin pin ge shi	11
音频流	yin pin liu	9
音频编码	yin pin bian ma	8
音频编程	yin pin bian cheng	7
音频编解码	yin pin bian jie ma	19
音频视频	yin pin shi pin	7
音频预处理	yin pin yu chu li	5
音频驱动	yin pin qu dong	10
页回收	ye hui shou	7
页地址	ye di zhi	10
页帧	ye zhen	10
页映射表	ye ying she biao	6
页模式	ye mo shi	2
页眉	ye mei	3
页表	ye biao	13
页表项	ye biao xiang	1
页调入	ye diao ru	7
页调出	ye diao chu	5
页边空白	ye bian kong bai	7
页面优化	ye mian you hua	9
页面传值	ye mian chuan zhi	8
页面内查找	ye mian nei cha zhao	5
页面切换	ye mian qie huan	3
页面刷新	ye mian shua xin	3
页面前端	ye mian qian duan	8
页面加载	ye mian jia zai	5
页面坐标	ye mian zuo biao	8
页面失效	ye mian shi xiao	8
页面居中	ye mian ju zhong	8
页面布局	ye mian bu ju	9
页面开发	ye mian kai fa	1
页面技术	ye mian ji shu	9
页面描述语言	ye mian miao shu yu yan	2
页面效果	ye mian xiao guo	1
页面替换策略	ye mian ti huan ce lve	4
页面架构	ye mian jia gou	7
页面渲染	ye mian xuan ran	1
页面特效	ye mian te xiao	8
页面缓存	ye mian huan cun	1
页面置换	ye mian zhi huan	11
页面设置	ye mian she zhi	3
页面设计	ye mian she ji	9
页面跳转	ye mian tiao zhuan	13
页面间传值	ye mian jian chuan zhi	6
页面静态化	ye mian jing tai hua	11
顶点混合	ding dian hun he	7
顶点着色器	ding dian zhuo se qi	1
顶点覆盖	ding dian fu gai	4
项模板	xiang mu ban	8
项目一	xiang mu yi	11
项目代码	xiang mu dai ma	2
项目优化	xiang mu you hua	9
项目全局	xiang mu quan ju	8
项目分析	xiang mu fen xi	1
项目创建	xiang mu chuang jian	8
项目发布	xiang mu fa bu	5
项目外包	xiang mu wai bao	1
项目实例	xiang mu shi li	9
项目实战	xiang mu shi zhan	12
项目实施	xiang mu shi shi	24
项目实用	xiang mu shi yong	5
项目实践	xiang mu shi jian	1
项目常用	xiang mu chang yong	8
项目应用	xiang mu ying yong	10
项目开发	xiang mu kai fa	28
项目开发管理	xiang mu kai fa guan li	7
项目开发经验	xiang mu kai fa jing yan	9
项目打包	xiang mu da bao	12
项目报错	xiang mu bao cuo	9
项目搭建	xiang mu da jian	10
项目整理	xiang mu zheng li	7
项目文件	xiang mu wen jian	2
项目日志	xiang mu ri zhi	8
项目构建	xiang mu gou jian	12
项目构建工具	xiang mu gou jian gong ju	9
项目架构	xiang mu jia gou	11
项目案例	xiang mu an li	9
项目流程	xiang mu liu cheng	1
项目测试	xiang mu ce shi	6
项目源码	xiang mu yuan ma	13
项目研发	xiang mu yan fa	5
项目示例	xiang mu shi li	9
项目管理实战	xiang mu guan li shi zhan	6
项目管理工具	xiang mu guan li gong ju	1
项目管理软件	xiang mu guan li ruan jian	10
项目经历	xiang mu jing li	11
项目经验	xiang mu jing yan	2
项目结构	xiang mu jie gou	2
项目综合	xiang mu zong he	4
项目节点	xiang mu jie dian	1
项目规范	xiang mu gui fan	2
项目解析	xiang mu jie xi	8
项目设置	xiang mu she zhi	10
项目设计	xiang mu she ji	25
项目进度	xiang mu jin du	11
项目部署	xiang mu bu shu	12
项目重命名	xiang mu chong ming ming	7
顺序发生	shun xu fa sheng	5
顺序号	shun xu hao	13
顺序图	shun xu tu	1
顺序处理	shun xu chu li	1
顺序存储	shun xu cun chu	3
顺序存储结构	shun xu cun chu jie gou	12
顺序存取	shun xu cun qu	10
顺序容器	shun xu rong qi	11
顺序控制	shun xu kong zhi	11
顺序搜索	shun xu sou suo	1
顺序操作	shun xu cao zuo	1
顺序文件	shun xu wen jian	10
顺序查找	shun xu cha zhao	13
顺序栈	shun xu zhan	11
顺序程序设计	shun xu cheng xu she ji	6
顺序索引	shun xu suo yin	1
顺序结构	shun xu jie gou	12
顺序统计量	shun xu tong ji liang	2
顺序表	shun xu biao	13
顺序调度	shun xu diao du	8
顺序调用	shun xu diao yong	1
顺序进程	shun xu jin cheng	7
顺序队列	shun xu dui lie	10
预充电	yu chong dian	1
预分配	yu fen pei	2
预加载	yu jia zai	9
预取技术	yu qu ji shu	6
预处理命令	yu chu li ming ling	1
预处理指令	yu chu li zhi ling	12
预处理程序	yu chu li cheng xu	1
预定义变量	yu ding yi bian liang	2
预测分析	yu ce fen xi	6
预测控制	yu ce kong zhi	15
预测模型	yu ce mo xing	28
预测编码	yu ce bian ma	26
预编码	yu bian ma	8
预编译	yu bian yi	9
预编译头	yu bian yi tou	11
预编译头文件	yu bian yi tou wen jian	11
预编译指令	yu bian yi zhi ling	11
预编译文件	yu bian yi wen jian	10
预编译程序	yu bian yi cheng xu	9
预设管理器	yu she guan li qi	1
预防性维护	yu fang xing wei hu	13
领域建模	ling yu jian mo	3
领域无关	ling yu wu guan	1
领域模型	ling yu mo xing	8
领域知识	ling yu zhi shi	8
领域驱动设计	ling yu qu dong she ji	8
频域响应	pin yu xiang ying	6
频域滤波	pin yu lv bo	8
频繁模式	pin fan mo shi	9
频繁项集	pin fan xiang ji	11
频谱分析	pin pu fen xi	32
题目分类	ti mu fen lei	1
题目解析	ti mu jie xi	11
题目详解	ti mu xiang jie	6
颜色代码	yan se dai ma	1
颜色值	yan se zhi	7
颜色减淡	yan se jian dan	8
颜色取样器	yan se qu yang qi	7
颜色渐变	yan se jian bian	8
颜色直方图	yan se zhi fang tu	10
颜色空间	yan se kong jian	2
