# 青简领域词库：成语，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
仇人相见	chou ren xiang jian	4
仇人相见分外眼红	chou ren xiang jian fen wai yan hong	6
仇深似海	chou shen si hai	6
今不如昔	jin bu ru xi	5
今夕何夕	jin xi he xi	16
从中作梗	cong zhong zuo geng	35
从中渔利	cong zhong yu li	4
从善如登	cong shan ru deng	1
从头至尾	cong tou zhi wei	40
从容就义	cong rong jiu yi	2
从容应对	cong rong ying dui	7
从容自在	cong rong zi zai	2
从容自如	cong rong zi ru	1
从容自若	cong rong zi ruo	4
从宽发落	cong kuan fa luo	2
从心所欲	cong xin suo yu	6
从恶如崩	cong e ru beng	3
从谏如流	cong jian ru liu	1
从轻发落	cong qing fa luo	15
仓皇出逃	cang huang chu tao	9
仓皇失措	cang huang shi cuo	3
他乡遇故知	ta xiang yu gu zhi	42
他山之石	ta shan zhi shi	6
付之流水	fu zhi liu shui	2
付诸一炬	fu zhu yi ju	11
付诸一笑	fu zhu yi xiao	6
仙山琼阁	xian shan qiong ge	2
代人受过	dai ren shou guo	1
令人咋舌	ling ren ze she	8
令人喷饭	ling ren pen fan	1
令人瞩目	ling ren zhu mu	30
令人起敬	ling ren qi jing	7
令人齿冷	ling ren chi leng	1
令出如山	ling chu ru shan	6
令出必行	ling chu bi xing	7
以丰补歉	yi feng bu qian	7
以人为鉴	yi ren wei jian	1
以人为镜	yi ren wei jing	3
以其昏昏	yi qi hun hun	1
以其昏昏使人昭昭	yi qi hun hun shi ren zhao zhao	6
以勤补拙	yi qin bu zhuo	1
以古为鉴	yi gu wei jian	6
以古为镜	yi gu wei jing	7
以古喻今	yi gu yu jin	6
以天下为己任	yi tian xia wei ji ren	11
以夷制夷	yi yi zhi yi	2
以子之矛	yi zi zhi mao	3
以子之矛攻子之盾	yi zi zhi mao gong zi zhi dun	7
以守为攻	yi shou wei gong	1
以小人之心	yi xiao ren zhi xin	33
以己度人	yi ji duo ren	41
以德报德	yi de bao de	23
以心传心	yi xin chuan xin	9
以战养战	yi zhan yang zhan	7
以文会友	yi wen hui you	13
以点带面	yi dian dai mian	13
以直报怨	yi zhi bao yuan	17
以眼还眼	yi yan huan yan	19
以管窥豹	yi guan kui bao	6
以绝后患	yi jue hou huan	21
以身报国	yi shen bao guo	3
以身殉国	yi shen xun guo	11
以身试险	yi shen shi xian	8
仪态万千	yi tai wan qian	7
仰不愧天	yang bu kui tian	1
仰之弥高	yang zhi mi gao	3
仰面朝天	yang mian chao tian	4
任凭风浪起	ren ping feng lang qi	8
伉俪情深	kang li qing shen	8
众人拾柴火焰高	zhong ren shi chai huo yan gao	21
众口相传	zhong kou xiang chuan	7
优哉游哉	you zai you zai	17
优胜劣败	you sheng lie bai	5
传为佳话	chuan wei jia hua	30
传为笑谈	chuan wei xiao tan	5
传为美谈	chuan wei mei tan	16
传诵一时	chuan song yi shi	6
伯乐相马	bo le xiang ma	3
伺机而动	si ji er dong	16
似笑非笑	si xiao fei xiao	18
但求无过	dan qiu wu guo	1
位极人臣	wei ji ren chen	4
低吟浅唱	di yin qian chang	8
低声细语	di sheng xi yu	3
低头哈腰	di tou ha yao	5
何乐不为	he le bu wei	11
何其相似乃尔	he qi xiang si nai er	6
何患无辞	he huan wu ci	7
何足为奇	he zu wei qi	3
何足道哉	he zu dao zai	2
余味无穷	yu wei wu qiong	7
余波未平	yu bo wei ping	16
余波荡漾	yu bo dang yang	8
余音缭绕	yu yin liao rao	6
余音袅袅	yu yin niao niao	1
作如是观	zuo ru shi guan	11
你唱我和	ni chang wo he	1
你言我语	ni yan wo yu	6
佳偶天成	jia ou tian cheng	8
依样画葫芦	yi yang hua hu lu	7
依法炮制	yi fa pao zhi	5
依葫芦画瓢	yi hu lu hua piao	12
保存实力	bao cun shi li	33
信口胡言	xin kou hu yan	6
信口胡诌	xin kou hu zhou	5
信笔涂鸦	xin bi tu ya	6
俭以养德	jian yi yang de	6
修心养性	xiu xin yang xing	4
修桥补路	xiu qiao bu lu	3
修齐治平	xiu qi zhi ping	2
俯仰之间	fu yang zhi jian	2
俯仰无愧	fu yang wu kui	5
俯首听命	fu shou ting ming	1
倏忽之间	shu hu zhi jian	7
倚强凌弱	yi qiang ling ruo	1
借古喻今	jie gu yu jin	2
借坡下驴	jie po xia lv	7
借贷无门	jie dai wu men	7
债多不愁	zhai duo bu chou	4
倾囊相助	qing nang xiang zhu	3
假戏成真	jia xi cheng zhen	6
假手于人	jia shou yu ren	1
偏信则暗	pian xin ze an	1
偏安一隅	pian an yi yu	5
做一天和尚撞一天钟	zuo yi tian he shang zhuang yi tian zhong	8
做小动作	zuo xiao dong zuo	7
偷鸡不着蚀把米	tou ji bu zhao shi ba mi	3
傲慢无礼	ao man wu li	13
傲然屹立	ao ran yi li	1
傲然挺立	ao ran ting li	7
傲霜斗雪	ao shuang dou xue	6
儿女之情	er nv zhi qing	3
儿孙自有儿孙福	er sun zi you er sun fu	7
儿行千里母担忧	er xing qian li mu dan you	34
允执厥中	yun zhi jue zhong	9
兄友弟恭	xiong you di gong	14
兄弟阋于墙	xiong di xi yu qiang	1
充满生机	chong man sheng ji	25
先人后己	xian ren hou ji	2
先入之见	xian ru zhi jian	3
先公后私	xian gong hou si	1
先天下之忧而忧	xian tian xia zhi you er you	39
先小人后君子	xian xiao ren hou jun zi	6
先忧后乐	xian you hou le	2
光复旧物	guang fu jiu wu	7
光焰万丈	guang yan wan zhang	6
光荣岁月	guang rong sui yue	4
光辉夺目	guang hui duo mu	1
光阴荏苒	guang yin ren ran	14
光阴虚度	guang yin xu du	6
光风霁月	guang feng ji yue	7
克己复礼	ke ji fu li	7
克己慎行	ke ji shen xing	6
免开尊口	mian kai zun kou	5
兔子不吃窝边草	tu zi bu chi wo bian cao	1
入地无门	ru di wu men	6
入室弟子	ru shi di zi	28
全军覆灭	quan jun fu mie	16
全国一盘棋	quan guo yi pan qi	3
全心全力	quan xin quan li	8
全民皆兵	quan min jie bing	7
全盘托出	quan pan tuo chu	19
八万四千	ba wan si qian	36
八九不离十	ba jiu bu li shi	1
八仙过海各显神通	ba xian guo hai ge xian shen tong	9
八字没一撇	ba zi mei yi pie	47
八府巡按	ba fu xun an	3
八方支持	ba fang zhi chi	7
八方支援	ba fang zhi yuan	9
公平合理	gong ping he li	13
公平正直	gong ping zheng zhi	2
公正廉明	gong zheng lian ming	3
公正廉洁	gong zheng lian jie	3
公说公有理	gong shuo gong you li	20
公诸同好	gong zhu tong hao	2
公道合理	gong dao he li	3
六根清净	liu gen qing jing	23
六畜兴旺	liu chu xing wang	3
六道轮回	liu dao lun hui	23
关山阻隔	guan shan zu ge	6
关心民瘼	guan xin min mo	1
关怀备至	guan huai bei zhi	18
关门闭户	guan men bi hu	5
兴利除害	xing li chu hai	1
兴味索然	xing wei suo ran	2
兴国安邦	xing guo an bang	1
兴旺发达	xing wang fa da	12
兴致索然	xing zhi suo ran	6
兴趣盎然	xing qu ang ran	9
兵多将广	bing duo jiang guang	6
兵无常势	bing wu chang shi	2
兵来将挡	bing lai jiang dang	30
兵来将挡水来土掩	bing lai jiang dang shui lai tu yan	33
兵败如山倒	bing bai ru shan dao	11
兵连祸结	bing lian huo jie	7
兵马未动	bing ma wei dong	1
兵马未动粮草先行	bing ma wei dong liang cao xian xing	7
其不善者而改之	qi bu shan zhe er gai zhi	7
其奈我何	qi nai wo he	6
其实难副	qi shi nan fu	1
其言也善	qi yan ye shan	4
兹事体大	zi shi ti da	5
养儿防老	yang er fang lao	32
养兵千日	yang bing qian ri	2
养兵千日用兵一时	yang bing qian ri yong bing yi shi	7
养家活口	yang jia huo kou	9
养生之道	yang sheng zhi dao	44
