# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
波爱修斯	bo ai xiu si	8
泥阳	ni yang	9
泫氏	xuan shi	6
泷廉太郎	long lian tai lang	3
泷泽秀明	long ze xiu ming	33
泷田洋二郎	long tian yang er lang	14
泽口靖子	ze kou jing zi	6
泽尻绘里香	ze kao hui li xiang	3
泽村一树	ze cun yi shu	29
泽田研二	ze tian yan er	12
洁尘	jie chen	11
洛兵	luo bing	5
洛塔尔	luo ta er	33
洛芙	luo fu	24
津川雅彦	jin chuan ya yan	21
洪七公	hong qi gong	46
洪亮吉	hong liang ji	28
洪兰友	hong lan you	5
洪声	hong sheng	7
洪天贵福	hong tian gui fu	9
洪如	hong ru	8
洪应明	hong ying ming	5
洪建平	hong jian ping	6
洪战辉	hong zhan hui	8
洪晃	hong huang	4
洪智	hong zhi	19
洪波	hong bo	44
洪深	hong shen	17
洪渊	hong yuan	3
洪行	hong xing	4
洪迈	hong mai	10
洪钢	hong gang	3
洼冢洋介	wa zhong yang jie	8
流氓燕	liu mang yan	1
浅田真央	qian tian zhen yang	6
浅野优子	qian ye you zi	3
浅野忠信	qian ye zhong xin	31
浅野温子	qian ye wen zi	9
浅野真澄	qian ye zhen cheng	6
济北国	ji bei guo	23
济北王	ji bei wang	43
浚仪	xun yi	25
浦大邦	pu da bang	2
浦泽	pu ze	4
浦泽直树	pu ze zhi shu	6
浦起龙	pu qi long	3
浦远	pu yuan	2
浪兄	lang xiong	2
浪川大辅	lang chuan da fu	30
浮克	fu ke	4
浮阳	fu yang	16
海伦凯勒	hai lun kai le	5
海兰珠	hai lan zhu	18
海升	hai sheng	7
海容天天	hai rong tian tian	3
海岩	hai yan	29
海德里希	hai de li xi	45
海怀	hai huai	3
海森伯	hai sen bo	1
海西公	hai xi gong	4
海鸣威	hai ming wei	3
涂凌	tu ling	2
涂瀛	tu ying	2
涂紫凝	tu zi ning	1
涂长望	tu chang wang	6
涅阳	nie yang	14
淑容	shu rong	30
淑惠妃	shu hui fei	2
淮阳王	huai yang wang	14
深作欣二	shen zuo xin er	22
深津绘里	shen jin hui li	11
深游	shen you	5
深田恭子	shen tian gong zi	27
淳于意	chun yu yi	4
淳于琼	chun yu qiong	3
清世宗	qing shi zong	29
清世祖	qing shi zu	41
清仁宗	qing ren zong	15
清太祖努尔哈赤	qing tai zu nu er ha chi	30
清德宗	qing de zong	47
清文宗	qing wen zong	5
清春	qing chun	23
清水崇	qing shui chong	11
清穆宗	qing mu zong	13
清贵	qing gui	38
渊泉	yuan quan	14
渡哲也	du zhe ye	7
渡濑悠宇	du lai you yu	10
渡边博子	du bian bo zi	3
渡边美奈	du bian mei nai	5
渡边谦	du bian qian	27
渡部笃郎	du bu du lang	10
渥巴锡	wo ba xi	1
渥美清	wo mei qing	27
温世霖	wen shi lin	1
温体仁	wen ti ren	27
温兆伦	wen zhao lun	30
温子升	wen zi sheng	12
温岚	wen lan	17
温庭筠	wen ting yun	9
温斯莱特	wen si lai te	1
温汝能	wen ru neng	2
温汝适	wen ru shi	2
温汝遂	wen ru sui	2
温特哈尔特	wen te ha er te	1
温玉成	wen yu cheng	11
温王	wen wang	23
温碧霞	wen bi xia	24
温铁军	wen tie jun	9
温雯	wen wen	5
游弥坚	you mi jian	8
游本嘉	you ben jia	1
游鸿明	you hong ming	23
湖衣姬	hu yi ji	2
湛若水	zhan ruo shui	21
滕久寿	teng jiu shou	4
滕代远	teng dai yuan	35
滕弘	teng hong	2
滕文公	teng wen gong	3
滕矢初	teng shi chu	10
滕胤	teng yin	8
满宠	man chong	9
满岛光	man dao guang	31
满文军	man wen jun	3
漆侠	qi xia	1
漆琪生	qi qi sheng	1
漆道征	qi dao zheng	2
漠璇	mo xuan	3
潘世恩	pan shi en	9
潘举	pan ju	2
潘仪君	pan yi jun	5
潘伯鹰	pan bo ying	14
潘允端	pan yun duan	3
潘光旦	pan guang dan	16
潘凤	pan feng	5
潘和	pan he	9
潘坤	pan kun	5
潘天寿	pan tian shou	47
潘奕隽	pan yi jun	2
潘婕	pan jie	2
潘媛	pan yuan	1
潘岳	pan yue	37
潘府	pan fu	2
潘德舆	pan de yu	3
潘恭寿	pan gong shou	3
潘慈康	pan ci kang	2
潘振波	pan zhen bo	2
潘昌猷	pan chang you	2
潘春生	pan chun sheng	3
潘晓婷	pan xiao ting	3
潘永贵	pan yong gui	3
潘泉	pan quan	4
潘漠子	pan mo zi	2
潘濬	pan jun	14
潘燕辉	pan yan hui	3
潘玉良	pan yu liang	12
潘琳	pan lin	9
潘璋	pan zhang	12
潘相	pan xiang	4
潘眉	pan mei	6
潘祖荫	pan zu yin	8
潘秉衡	pan bing heng	4
潘菽	pan shu	6
潘虹	pan hong	18
潘西凤	pan xi feng	3
潘遂	pan sui	5
潘遵祁	pan zun qi	2
潘铎	pan duo	2
潘锡恩	pan xi en	4
潘锦	pan jin	6
潘长江	pan chang jiang	27
潘隐	pan yin	2
潘飞声	pan fei sheng	4
潘鼎	pan ding	3
潘龄皋	pan ling gao	1
濑户朝香	lai hu zhao xiang	6
濑濑敬久	lai lai jing jiu	3
濮存昕	pu cun xin	23
濮阳兴	pu yang xing	2
灌婴	guan ying	34
灞水	ba shui	1
灰原哀	hui yuan ai	32
灵壁	ling bi	11
灵帝	ling di	21
烈祖	lie zu	16
焦仲卿	jiao zhong qing	2
焦建成	jiao jian cheng	4
焦恩俊	jiao en jun	17
焦文龙	jiao wen long	2
焦波	jiao bo	7
焦炳	jiao bing	4
焦立坤	jiao li kun	8
焦竑	jiao hong	15
焦达峰	jiao da feng	23
熊丙奇	xiong bing qi	5
熊严	xiong yan	1
熊仁荣	xiong ren rong	1
熊伯齐	xiong bo qi	1
熊伯龙	xiong bo long	3
熊佛西	xiong fo xi	2
熊侣	xiong lv	1
熊勇	xiong yong	1
熊向晖	xiong xiang hui	7
熊均	xiong jun	2
熊大木	xiong da mu	5
熊川	xiong chuan	17
熊庆来	xiong qing lai	5
熊心	xiong xin	30
熊怡	xiong yi	4
熊成基	xiong cheng ji	17
熊文	xiong wen	26
熊晖	xiong hui	2
熊景星	xiong jing xing	1
熊梦祥	xiong meng xiang	2
熊横	xiong heng	5
熊汝霖	xiong ru lin	7
熊珍	xiong zhen	3
熊琪	xiong qi	3
熊田曜子	xiong tian yao zi	2
熊秉坤	xiong bing kun	8
熊笑三	xiong xiao san	2
熊绎	xiong yi	2
熊艳	xiong yan	2
熊赐履	xiong ci lv	1
熊超	xiong chao	5
熊过	xiong guo	3
熊迪	xiong di	1
熊通	xiong tong	6
熊锐	xiong rui	1
熊霜	xiong shuang	3
熙平	xi ping	28
燕南天	yan nan tian	6
燕子李三	yan zi li san	1
燕惠王	yan hui wang	4
燕昭王	yan zhao wang	9
燕青	yan qing	21
爰书	yuan shu	1
爱尔维修	ai er wei xiu	6
爱彩	ai cai	6
爱田由	ai tian you	1
爱野美奈子	ai ye mei nai zi	4
牂牁郡	zang ke jun	7
片冈聪	pian gang cong	1
片冈鹤太郎	pian gang he tai lang	4
片山阳加	pian shan yang jia	11
牛僧孺	niu seng ru	25
牛振华	niu zhen hua	2
牛田洋	niu tian yang	18
牛皋	niu gao	10
牛莉	niu li	7
牛运震	niu yun zhen	1
牛金	niu jin	13
牛鉴	niu jian	7
牛雨田	niu yu tian	9
牛青峰	niu qing feng	3
牟宗三	mou zong san	21
牧守	mu shou	4
牧正	mu zheng	3
牧野杉菜	mu ye shan cai	1
牧野由依	mu ye you yi	11
特伟	te wei	3
特勒骠	te le biao	3
特拉梅尔	te la mei er	4
狄尔泰	di er tai	3
狄慈根	di ci gen	3
狄膺	di ying	8
猫街	mao jie	27
献帝	xian di	46
玄德	xuan de	14
玄烨	xuan ye	18
玉恒	yu heng	6
玉木宏	yu mu hong	28
玉素甫	yu su fu	32
玉置浩二	yu zhi hao er	18
玉贵人	yu gui ren	8
王一亭	wang yi ting	15
王一宁	wang yi ning	11
王一峰	wang yi feng	2
王一鹏	wang yi peng	4
王万顺	wang wan shun	3
王世发	wang shi fa	4
王世宇	wang shi yu	9
王世德	wang shi de	2
王世懋	wang shi mao	3
王世永	wang shi yong	5
王世琛	wang shi chen	2
王世相	wang shi xiang	1
王世芬	wang shi fen	2
王世茂	wang shi mao	2
王世雄	wang shi xiong	1
王丙	wang bing	13
王业	wang ye	38
王东亮	wang dong liang	3
王中阳	wang zhong yang	5
王丹凤	wang dan feng	10
王丽达	wang li da	4
王乃征	wang nai zheng	1
王义夫	wang yi fu	2
王之佐	wang zhi zuo	5
王之垣	wang zhi yuan	1
王之政	wang zhi zheng	1
王之涣	wang zhi huan	6
王九思	wang jiu si	8
王买	wang mai	4
王二小	wang er xiao	2
王云五	wang yun wu	24
王亚南	wang ya nan	8
王亚彬	wang ya bin	1
王亚楠	wang ya nan	6
王亚樵	wang ya qiao	6
王亚欧	wang ya ou	2
王亦民	wang yi min	2
王人美	wang ren mei	2
王仁堪	wang ren kan	3
王仁龙	wang ren long	4
王仕鹏	wang shi peng	5
王仲元	wang zhong yuan	3
王仲铭	wang zhong ming	15
王任叔	wang ren shu	12
王伉	wang kang	3
王会汾	wang hui fen	2
王传一	wang chuan yi	14
王伯当	wang bo dang	8
王伯祥	wang bo xiang	18
王伯臣	wang bo chen	3
王佑	wang you	37
王作华	wang zuo hua	1
王作楫	wang zuo ji	7
王佩兰	wang pei lan	4
王佳一	wang jia yi	1
王佳宇	wang jia yu	2
王修	wang xiu	44
王偁	wang cheng	3
王允	wang yun	46
王允恭	wang yun gong	2
王元亮	wang yuan liang	1
王元勋	wang yuan xun	2
王元启	wang yuan qi	4
王元淑	wang yuan shu	1
王充	wang chong	26
王兆相	wang zhao xiang	4
王兆祥	wang zhao xiang	6
王先谦	wang xian qian	19
王光祈	wang guang qi	6
王光美	wang guang mei	34
王克俭	wang ke jian	3
王克勤	wang ke qin	8
王六生	wang liu sheng	5
王兴家	wang xing jia	4
王兴尧	wang xing yao	6
王兵	wang bing	18
王冈	wang gang	3
王冉	wang ran	2
王冕	wang mian	33
王军军	wang jun jun	4
王军霞	wang jun xia	3
王冠军	wang guan jun	20
王凡夫	wang fan fu	3
王凤仪	wang feng yi	3
王凤娴	wang feng xian	2
王凤山	wang feng shan	3
王凤岗	wang feng gang	4
王凤梧	wang feng wu	2
王凤翔	wang feng xiang	5
王凯泰	wang kai tai	5
王初桐	wang chu tong	3
王剑岳	wang jian yue	4
王励勤	wang li qin	24
王劲修	wang jin xiu	4
王劼	wang jie	3
王勃	wang bo	14
王勇峰	wang yong feng	2
王勋	wang xun	40
王化贞	wang hua zhen	8
王匡	wang kuang	21
王华生	wang hua sheng	14
王原祁	wang yuan qi	6
王又曾	wang you ceng	8
王友亮	wang you liang	4
王友石	wang you shi	2
王叔和	wang shu he	4
王吉武	wang ji wu	2
王同愈	wang tong yu	1
王同辉	wang tong hui	3
王向明	wang xiang ming	3
王含	wang han	9
王和顺	wang he shun	43
王啸坤	wang xiao kun	3
王嗣奭	wang si shi	2
王嘉福	wang jia fu	3
王嘉良	wang jia liang	5
王国光	wang guo guang	5
王国刚	wang guo gang	8
王国安	wang guo an	4
王国宾	wang guo bin	2
王国敏	wang guo min	5
王国斌	wang guo bin	4
王国林	wang guo lin	8
王坚	wang jian	26
王垠	wang yin	5
王域	wang yu	4
王基	wang ji	4
王士元	wang shi yuan	2
王士珍	wang shi zhen	12
王士禄	wang shi lu	3
王士雄	wang shi xiong	7
王士雯	wang shi wen	1
王处一	wang chu yi	4
王复	wang fu	27
王复元	wang fu yuan	2
王大伟	wang da wei	7
王大明	wang da ming	15
王大雷	wang da lei	13
王太岳	wang tai yue	4
王夫之	wang fu zhi	26
王奇	wang qi	15
王妍	wang yan	13
王姝	wang shu	4
王姬	wang ji	23
王姮	wang heng	3
王婧	wang jing	5
王婷婷	wang ting ting	3
王嫱	wang qiang	1
王子平	wang zi ping	6
王子服	wang zi fu	21
王子英	wang zi ying	14
王子鸣	wang zi ming	8
王子鹏	wang zi peng	2
王季思	wang ji si	8
王季烈	wang ji lie	2
王学兵	wang xue bing	11
王学浩	wang xue hao	2
王孺童	wang ru tong	2
王守恂	wang shou xun	6
王守才	wang shou cai	4
王安忆	wang an yi	9
王宏亮	wang hong liang	7
王宏坤	wang hong kun	25
王宏撰	wang hong zhuan	2
王宏祚	wang hong zuo	2
王宗山	wang zong shan	1
王宗沐	wang zong mu	4
王宗炎	wang zong yan	4
王定安	wang ding an	2
王宜胜	wang yi sheng	4
王宝仁	wang bao ren	3
王实味	wang shi wei	24
王审知	wang shen zhi	32
王家楫	wang jia ji	3
王寂	wang ji	2
王寿年	wang shou nian	3
王封	wang feng	21
王尊三	wang zun san	2
王小丫	wang xiao ya	10
王小列	wang xiao lie	1
王小山	wang xiao shan	8
王小帅	wang xiao shuai	21
王小星	wang xiao xing	6
王少堂	wang shao tang	1
王少磊	wang shao lei	5
王尔琢	wang er zhuo	3
王尧	wang yao	24
王尽美	wang jin mei	16
王履	wang lv	1
王履端	wang lv duan	2
王岩	wang yan	32
王岱	wang dai	2
王岳	wang yue	44
王岷	wang min	2
王峻	wang jun	49
王崇德	wang chong de	4
王崇简	wang chong jian	3
王嵎生	wang yu sheng	9
王川	wang chuan	9
王左	wang zuo	5
王巩	wang gong	3
王希廉	wang xi lian	2
王广心	wang guang xin	2
王庆云	wang qing yun	8
王庆麟	wang qing lin	4
王应华	wang ying hua	2
王应麟	wang ying lin	5
王庭筠	wang ting yun	3
王康弘	wang kang hong	4
王延钧	wang yan jun	41
王廷相	wang ting xiang	12
王廷魁	wang ting kui	1
王建华	wang jian hua	6
王建宏	wang jian hong	7
王建忠	wang jian zhong	5
王建民	wang jian min	42
王建章	wang jian zhang	3
王式丹	wang shi dan	2
王弥	wang mi	22
王弼	wang bi	48
王彤	wang tong	23
王彰	wang zhang	16
王得臣	wang de chen	4
王德标	wang de biao	2
王德瑛	wang de ying	5
王心一	wang xin yi	2
王心刚	wang xin gang	4
王必	wang bi	36
王必成	wang bi cheng	22
王志坚	wang zhi jian	3
王忠诚	wang zhong cheng	2
王念祖	wang nian zu	6
王思任	wang si ren	4
王思思	wang si si	11
王思懿	wang si yi	2
王怡	wang yi	35
王怡仁	wang yi ren	2
王恕	wang shu	19
王恽	wang yun	7
王愫	wang su	3
王懋功	wang mao gong	7
王懿德	wang yi de	1
王懿荣	wang yi rong	7
王戎	wang rong	41
王成家	wang cheng jia	2
王承烈	wang cheng lie	3
王拯	wang zheng	1
王持	wang chi	2
王振辉	wang zhen hui	4
王掞	wang yan	1
王揖唐	wang yi tang	31
王敏刚	wang min gang	15
王敏川	wang min chuan	4
王敏生	wang min sheng	2
王敏超	wang min chao	2
王敬铭	wang jing ming	1
王文思	wang wen si	1
王文洁	wang wen jie	5
王文琳	wang wen lin	5
王文禄	wang wen lu	4
王文雄	wang wen xiong	7
王文韶	wang wen shao	16
王斌	wang bin	34
王新亭	wang xin ting	4
王方定	wang fang ding	3
王方正	wang fang zheng	4
王旭	wang xu	42
王旭东	wang xu dong	35
王旭烽	wang xu feng	3
王时敏	wang shi min	2
王昌龄	wang chang ling	13
王易	wang yi	10
王春露	wang chun lu	9
王昱婷	wang yu ting	1
王晋	wang jin	27
王晓倩	wang xiao qian	5
王晓华	wang xiao hua	10
王晓明	wang xiao ming	26
王晓籁	wang xiao lai	5
王晓鲁	wang xiao lu	4
王晓鹰	wang xiao ying	1
王晔	wang ye	14
王景和	wang jing he	5
王智新	wang zhi xin	5
王曦	wang xi	21
王有仁	wang you ren	4
王有龄	wang you ling	5
王朔	wang shuo	20
王柏心	wang bai xin	3
王栋	wang dong	29
王树声	wang shu sheng	24
王树谷	wang shu gu	2
王桂元	wang gui yuan	5
王梦兰	wang meng lan	3
王植	wang zhi	13
王楠	wang nan	27
王楷	wang kai	11
王概	wang gai	2
王樵	wang qiao	3
王檄	wang xi	4
王欣如	wang xin ru	2
王正敏	wang zheng min	9
王正鹏	wang zheng peng	3
王步青	wang bu qing	1
王毓曾	wang yu zeng	1
王毓麟	wang yu lin	2
王永旭	wang yong xu	8
王永民	wang yong min	2
王永积	wang yong ji	2
王汝南	wang ru nan	2
王汝璧	wang ru bi	1
王沅	wang yuan	7
王沈	wang shen	27
王泮	wang pan	9
王泰吉	wang tai ji	18
王泰林	wang tai lin	3
王洛	wang luo	49
王洪军	wang hong jun	2
王浑	wang hun	22
王浚	wang jun	26
王海容	wang hai rong	5
王海钧	wang hai jun	3
王海鸰	wang hai ling	1
王涛	wang tao	44
王淦	wang gan	4
王淦昌	wang gan chang	20
王清任	wang qing ren	2
王溥	wang pu	17
王潜	wang qian	5
王濬	wang jun	8
王火	wang huo	7
王炀	wang yang	4
王炳森	wang bing sen	6
王炳燮	wang bing xie	2
王煜辉	wang yu hui	4
王煦	wang xu	3
王燮	wang xie	8
王猛	wang meng	42
王献	wang xian	38
王献之	wang xian zhi	24
王献唐	wang xian tang	9
王猷定	wang you ding	2
王玉国	wang yu guo	8
王玉如	wang yu ru	1
王玉娥	wang yu e	5
王玉璋	wang yu zhang	2
王玖	wang jiu	1
王玥	wang yue	21
王玲珑	wang ling long	4
王玺	wang xi	19
王珏	wang jue	24
王球	wang qiu	4
王理	wang li	22
王琰	wang yan	7
王琳娜	wang lin na	7
王瑚	wang hu	3
王瓘	wang guan	4
王用之	wang yong zhi	3
王甫	wang fu	39
王甲本	wang jia ben	1
王畴	wang chou	25
王畿	wang ji	28
王百姓	wang bai xing	8
王真	wang zhen	9
王睿章	wang rui zhang	2
王瞳	wang tong	44
王祖光	wang zu guang	2
王祖庆	wang zu qing	3
王祜	wang hu	1
王祥	wang xiang	40
王禔	wang zhi	3
王禹九	wang yu jiu	5
王秉国	wang bing guo	3
王秉诚	wang bing cheng	3
王秉钧	wang bing jun	8
王立丰	wang li feng	6
王立德	wang li de	6
王立群	wang li qun	3
王立诚	wang li cheng	8
王竑	wang hong	5
王竣	wang jun	7
王答	wang da	1
王筝	wang zheng	1
王筱磊	wang xiao lei	1
王籍	wang ji	15
王粲	wang can	15
王累	wang lei	2
王纲	wang gang	15
王纶	wang lun	18
王绂	wang fu	2
王绅	wang shen	11
王绍兰	wang shao lan	1
王统照	wang tong zhao	4
王继贤	wang ji xian	3
王继飞	wang ji fei	6
王绩	wang ji	28
王维宁	wang wei ning	7
王维德	wang wei de	7
王维桢	wang wei zhen	4
王维珍	wang wei zhen	2
王维翰	wang wei han	5
王美人	wang mei ren	7
王美秀	wang mei xiu	1
王群	wang qun	33
王翘	wang qiao	3
王翚	wang hui	2
王耀武	wang yao wu	28
王耀辉	wang yao hui	5
王聘珍	wang pin zhen	2
王肃	wang su	42
王肇基	wang zhao ji	1
王肇辉	wang zhao hui	6
王育芳	wang yu fang	2
王臣	wang chen	31
王艮	wang gen	5
王节	wang jie	8
王芑孙	wang qi sun	2
王芸生	wang yun sheng	15
王茜	wang qian	23
王荪	wang sun	2
王莆中	wang pu zhong	2
王菁华	wang jing hua	7
王萌	wang meng	15
王葆心	wang bao xin	2
王蓉	wang rong	19
王蕴章	wang yun zhang	2
王藻	wang zao	25
王融	wang rong	13
王衡	wang heng	12
王襄	wang xiang	18
王观	wang guan	19
王诏	wang zhao	12
王诗文	wang shi wen	1
王诗琪	wang shi qi	7
王诤	wang zheng	22
王诩	wang xu	11
王语嫣	wang yu yan	25
王谋	wang mou	6
王谔	wang e	2
王谷祥	wang gu xiang	4
王象晋	wang xiang jin	1
王贝	wang bei	4
王贞仪	wang zhen yi	2
王贵福	wang gui fu	4
王跃文	wang yue wen	10
王跃飞	wang yue fei	8
王轶琼	wang yi qiong	3
王辅	wang fu	7
王辅臣	wang fu chen	40
王辉耀	wang hui yao	1
王辟之	wang bi zhi	2
王近山	wang jin shan	3
王进喜	wang jin xi	24
王连庆	wang lian qing	1
王述	wang shu	23
王道生	wang dao sheng	4
王邑	wang yi	16
王重民	wang zhong min	3
王重阳	wang chong yang	23
王金勇	wang jin yong	2
王金发	wang jin fa	11
王鎏	wang liu	2
王鏊	wang ao	7
王钊	wang zhao	15
王钟声	wang zhong sheng	5
王钧	wang jun	25
王钺	wang yue	7
王铎	wang duo	46
王铨	wang quan	33
王铭新	wang ming xin	2
王铭琬	wang ming wan	9
王铭章	wang ming zhang	12
王铮	wang zheng	32
王铸九	wang zhu jiu	3
王锜	wang qi	1
王锡元	wang xi yuan	4
王锡圭	wang xi gui	2
王锡彤	wang xi tong	1
王锡荣	wang xi rong	6
王锦辉	wang jin hui	12
王长喜	wang chang xi	1
王闿运	wang kai yun	16
王际华	wang ji hua	1
王隽	wang jun	13
王雁	wang yan	29
王雅捷	wang ya jie	10
王雅迪	wang ya di	1
王雪纯	wang xue chun	4
王震生	wang zhen sheng	5
王青芳	wang qing fang	2
王韬	wang tao	11
王顼龄	wang xu ling	1
王颀	wang qi	6
王飞雪	wang fei xue	3
王馥荔	wang fu li	8
王骥德	wang ji de	3
王鸣盛	wang ming sheng	7
王鸣韶	wang ming shao	1
王鸿寿	wang hong shou	3
王鸿绪	wang hong xu	4
王鹏运	wang peng yun	2
王鹰	wang ying	10
王龄	wang ling	6
玻恩	bo en	49
珍妃	zhen fei	38
珍嫔	zhen pin	2
班录	ban lu	3
班彪	ban biao	9
班扬	ban yang	5
班昭	ban zhao	3
班超	ban chao	22
琦善	qi shan	43
琪琪格	qi qi ge	3
琴乃	qin nai	28
琶杰	pa jie	1
瑜妃	yu fei	2
瑞迪克	rui di ke	22
瑶淼	yao miao	7
瑾妃	jin fei	9
瓦塔纳	wa ta na	46
瓦尔德内尔	wa er de nei er	5
瓦德西	wa de xi	16
瓦斯科达伽马	wa si ke da jia ma	9
甄伟	zhen wei	4
甘丽初	gan li chu	8
甘国栋	gan guo dong	5
甘夫人	gan fu ren	4
甘旸	gan yang	2
甘渭汉	gan wei han	2
甘福	gan fu	2
甘英	gan ying	11
甘茂	gan mao	9
甘萍	gan ping	7
生天目仁美	sheng tian mu ren mei	12
生濑胜久	sheng lai sheng jiu	13
生田斗真	sheng tian dou zhen	36
田中丽奈	tian zhong li nai	32
田中义一	tian zhong yi yi	19
田中健	tian zhong jian	21
田中千绘	tian zhong qian hui	5
田中哲司	tian zhong zhe si	10
田中大文	tian zhong da wen	4
田中敦子	tian zhong dun zi	14
田中理惠	tian zhong li hui	13
田中真纪子	tian zhong zhen ji zi	3
田中绢代	tian zhong juan dai	3
田中美保	tian zhong mei bao	4
田中裕子	tian zhong yu zi	13
田中要次	tian zhong yao ci	6
田中角荣	tian zhong jiao rong	45
田云龙	tian yun long	3
田伯平	tian bo ping	8
田兰芳	tian lan fang	2
田单	tian dan	16
田原俊彦	tian yuan jun yan	10
田喆	tian zhe	3
田垒	tian lei	4
田岷	tian min	4
田崎敬浩	tian qi jing hao	2
田建	tian jian	9
田昭武	tian zhao wu	1
田村淳	tian cun chun	10
田桐	tian tong	38
田楠	tian nan	4
田沁鑫	tian qin xin	6
田海蓉	tian hai rong	15
田炯锦	tian jiong jin	6
田祥	tian xiang	13
田穰苴	tian rang ju	3
田章	tian zhang	34
田续	tian xu	1
田长霖	tian chang lin	2
田雯	tian wen	2
田震	tian zhen	32
田鹏飞	tian peng fei	1
由拳	you quan	8
申不害	shen bu hai	3
申东靖	shen dong jing	1
申佳胤	shen jia yin	1
申敏儿	shen min er	1
申时行	shen shi xing	40
申梅	shen mei	14
申涵光	shen han guang	2
申甫	shen fu	9
申贤俊	shen xian jun	4
申鹏	shen peng	3
电车男	dian che nan	28
画圣	hua sheng	5
留平	liu ping	18
番和	fan he	6
疏广	shu guang	34
登闻鼓	deng wen gu	11
白义	bai yi	1
白云上	bai yun shang	1
白云鹏	bai yun peng	1
白亨利	bai heng li	3
白修德	bai xiu de	14
白元	bai yuan	5
白先勇	bai xian yong	43
白冰冰	bai bing bing	30
白凤鸣	bai feng ming	4
白君实	bai jun shi	2
白圭	bai gui	6
白寿	bai shou	41
白庆琳	bai qing lin	1
白悦	bai yue	4
白朴	bai piao	2
白永成	bai yong cheng	1
白洁	bai jie	16
白洲次郎	bai zhou ci lang	6
白淑湘	bai shu xiang	5
白灵	bai ling	30
白燕	bai yan	15
白珽	bai ting	3
白石美帆	bai shi mei fan	3
白石裕	bai shi yu	2
白英	bai ying	27
白茵	bai yin	6
白行简	bai xing jian	1
白蹄乌	bai ti wu	4
白采	bai cai	2
白音格力	bai yin ge li	2
白鹏飞	bai peng fei	10
百华	bai hua	14
百里奚	bai li xi	6
百里溪	bai li xi	2
皇建	huang jian	17
皇甫嵩	huang fu song	40
皇甫谧	huang fu mi	18
皓天	hao tian	7
皮埃尔居里	pi ai er ju li	2
皮埃罗	pi ai luo	12
皮定均	pi ding jun	5
皮日休	pi ri xiu	10
皮海洲	pi hai zhou	9
益若翼	yi ruo yi	9
盐渎	yan du	4
盖丽丽	gai li li	1
盖叫天	gai jiao tian	7
盖吕萨克	gai lv sa ke	2
盖尔曼	gai er man	20
盘庚	pan geng	17
